技能,技能图标,技能名字,注释,注释2,伤害类型（默认0.物理伤害 1.特殊伤害 ）,技能分类（1:单体伤害，2：群体伤害，3：单体治疗，4：群体治疗，5：变化，6弹射，7连击）,威力,命中,技能能量,属性ID（1.火 2.水 3.草 4.妖 5.恶 6.龙 7.冰 8.鬼 9.普通 10.电 11.虫 12.飞行 13.地面 14.岩石 15.格斗 16.超能 17.钢系 18.毒,技能描述,效果注释（不用处理，策划看）,触发效果(|分割),"作用对象(0.全体,1.目标,2.目标方全体,3.目标方随机单体,4.目标方1人+随机1人，5目标方1人+随机2人，6.目标方1人+随机3人，7目标放1人+随机4人.8.连击1次，9连击2次.10连击3次.11.释放者,12.释放者方全体,13.释放者方随机单体,14.释放者方目标单体 其它.特殊规则待扩展)",蓄力动画,释放时播放在释放者身上的特效资源（群体特效）,释放时从释放者飞向目标的特效资源,释放后播放在目标身上的特效资源，若有resFly，则需要飞行特效飞行到目标身上后播放此特效（单体特效）,"抖屏(0:抖,1:不抖)",释放后的音效资源,释放后技能背景资源,释放后出技能名,每场战斗使用次数限制,"是否预览（1是,2否）"
678,678,地狱神力,,去异常 加速 家回避,,5,,1,65,1,"移除队友异常状态,增加己方全员20%的速度和10%的闪避2回合",,861|1203|10601,12,5,,,31,1,shouji05,,1,,2
679,679,幸福之光,,群体治疗,,4,,1,65,4,"蛋蛋美妙的歌声,基于自身血量恢复全体友军20%HP",,10962,12,3,,,43,1,jiaxue,,1,,2
680,680,避难所I,,群体治疗 加特防,,4,,1,85,4,"2回合,提高全员35%的特防,并回复全员20%特攻的hp",,654|10703,12,3,,,43,1,jiaxue,,1,,2
681,681,避难所II,,群体加蓝 加物防,,5,,1,85,4,"2回合,提高全员35%的物防,并回复全员15点SP",,454|11453,12,3,,,43,1,jiaxue,,1,,2
682,682,狂怒之龙,单物,,0,1,165,1,70,6,"损失自身物攻最大值15%血,造成大量伤害",,11201,1,2,,,4,0,shouji04,,1,,2
701,701,恶语利刃,单物,,1,1,70,1,15,16,"撕咬一个目标,对其造成巨大的特攻伤害",,,1,,,,21,1,SkillATT02,,1,,2
702,702,恶力,单特,吸血,1,1,110,1,35,16,"使用意念波对目标造成特攻伤害,并将伤害的20%转化为治疗",,11102,1,4,,19,48,1,SkillATT01,,1,,2
703,703,预知未来,群3特,,1,2,90,1,70,16,"施展幻影对最多3个目标展开攻击,造成特攻伤害",,,5,4,38,,,0,SkillATT03,,1,,2
711,711,拍拍打,单特,,0,1,70,1,15,16,"攻击1名敌人要害,造成物攻伤害",,,1,,,1,1,1,shouji03,,1,,2
712,712,抢先一步,单物,加闪避,0,1,110,1,35,16,"对1名敌人造成物攻伤害,并增加自己10%的闪避,持续1回合",,1202,1,3,,,2,1,SkillATT02,,1,,2
713,713,精神之力,群物,睡眠,0,2,55,1,70,16,"施展月光对全敌造成物攻伤害,并有20%概率昏睡1回合",,10571,2,3,24,,,0,Skillyao01,,1,,2
721,721,寄生之叶,弹2特,,0,6,35,1,15,3,"制造1个弹射3次的翡翠之球,造成特攻伤害",,,6,,,22,40,1,shouji01,,1,,2
722,722,魔法叶,单物,,0,1,115,1,35,3,"召唤叶之矛刺穿敌人,造成物攻伤害",,,1,6,17,,19,1,SkillATT02,,1,,2
723,723,飞叶风暴,弹3物,,0,6,75,1,70,3,"借助自然之力攻击敌人,造成物攻伤害并弹射4次",,,7,6,,16,40,0,SkillATT03,,1,,2
731,731,喷烟,群4特,,0,2,35,1,15,1,"吐出炙热气流形成剧烈的爆炸,对4个敌方单位造成物攻伤害",,,6,,7,,8,1,huo,,1,,2
732,732,喷火,变化,灼烧,0,2,40,1,40,1,"向全敌喷吐液态火,造成物攻伤害,有25%几率灼烧敌人2回合",,10104,2,5,,6,15,1,Skillhuo03,,1,,2
733,733,断火剑,群6物,,0,2,60,1,70,1,对全敌释放毁灭之炎造成物攻伤害,,,2,5,22,,,0,Skillhuo02,,1,,2
741,741,喷水,群3特,,1,2,40,1,20,2,"发射高速水流,攻击3名敌人,造成特攻伤害",,,5,,,23,10,1,SkillATT03,,1,,2
742,742,水流尾,群4特,,1,2,58,1,40,2,"召唤高速水流形成飓风,横扫敌军对4名敌人造成特攻伤害",,,6,1,9,,11,1,Skillbing01,,1,,2
743,743,水之波动,群6特,,1,2,60,1,70,2,"召唤海啸吞没敌军,对全体敌方单位造成特攻伤害",,,2,1,33,,,0,Skillfeng01,4,1,,2
751,751,冰风冷气,单物,,0,1,70,1,15,7,"使用寒冰巨口撕咬1名地方单位,造成物攻",,,1,,,,21,1,shouji03,,1,,2
752,752,暴风雪,群6物,,0,2,40,1,40,7,"使用暴风雪袭击全敌,造成物攻伤害",,,2,1,1,,2,1,bing,,1,,2
753,753,冰之结界,变化,冻伤，自身回35%血,0,2,55,1,70,7,"召唤极寒气对全敌造成物攻伤害并冻伤,恢复自身10%的hp",,10204|10964,2,1,20,,,0,bing,,1,,2
761,761,龙爪,单特,,1,1,70,1,15,6,"向1名敌军展开1次爪击,造成特攻伤害",,,1,,,,21,1,SkillATT02,,1,,2
762,762,燃尽,群4特,,1,2,58,1,40,6,使用火焰炙烤4个敌方单位造成特攻伤害,,,6,2,6,,8,1,huo,,1,,2
763,763,狂龙之魂,变化,物攻特攻+100%，物防特防-50%,,5,,1,70,6,"3回合内提高自身50%的物攻与特攻,但物防与特防下降25%",,52|252|552|752,11,2,,,25,1,shouji05,,1,,2
771,771,龙尾,特3物,,1,2,45,1,20,1,"向3名敌人喷吐灼热火焰,造成特攻伤害",,,5,,7,,8,1,huo,,1,,2
772,772,双刃剑,单特,自身减少15%HP，造成15%HP等数值的伤害,1,1,125,1,40,1,"以15%自身hp为代价,重创敌方单体,造成特攻伤害",,28001,1,5,,,9,0,SkillATT02,,1,,2
773,773,分担痛楚,单特,自身减少20%HP，造成20%HP等数值的伤害，并麻痹2回合,1,1,165,1,70,1,"以自身20%hp为代价,灼烧1名敌军,造成特攻伤害",,28002,1,5,,,52,0,SkillATT01,,1,,2
781,781,报仇,单特,,1,1,70,1,15,8,"给敌人一记勾拳,造成特攻",,,1,,,2,1,1,shouji03,,1,,2
782,782,黑夜降临,变化,减命中,,5,,1,25,8,"使用黑夜之力降低全敌15%的命中,持续2回合",,1152,2,,,,32,1,SkillATT01,,1,,2
783,783,闹剧终结,单特,加SP,1,1,110,1,70,8,"重创目标造成特攻伤害,并将恢复全体友军10点SP",,11452,1,4,,14,83,0,shouji03,,1,,2
791,791,火焰刺拳,单物,,0,1,70,1,15,1,"猛烈的一记直拳,对1个敌人造成物攻",,,1,,,,22,1,SkillATT02,,1,,2
792,792,火焰勾拳,单特,晕眩,1,1,110,1,40,1,"一记火焰勾拳对敌方单体造成特攻伤害,15%几率麻痹1回合",,10451,1,5,,5,23,0,SkillATT02,,1,,2
793,793,残影,变化,加闪避,,5,,1,75,1,"施展诡异的步伐,在2回合内提高自身70%的闪避",,1252,11,5,,,38,1,SkillATT01,,1,,2
801,801,吹飞,单物,,1,1,70,1,15,5,"使用恶念攻击一名敌人,造成特攻伤害",,,1,,,2,1,1,shouji03,,1,,2
802,802,恶念球,群3物,,1,2,58,1,40,5,"放出恶念球攻击4个敌人,造成特攻伤害",,,6,4,,1,19,1,SkillATT01,,1,,2
803,803,恶念猛击,变化,加双防，并反伤,0,2,55,1,75,5,"对全敌释放强大物攻性恶念,并提高自己30%物防与特防3回合",,453|653,2,4,30,,,0,Skillzhuangji01,,1,,2
811,811,惩罚,单物,,0,1,70,1,15,1,"凝聚火焰之力的一击,对敌方1人造成物攻伤害",,,1,,,,22,1,Skillbaozha01,,1,,2
812,812,大字爆炎,群4物,,1,2,58,1,40,1,"召唤1波火焰雨攻击4名敌军,造成特攻伤害",,,6,5,7,,8,1,Skillhuo03,,1,,2
813,813,神圣之火,群6特,消耗自身20%hp，造成20%hp的特攻,0,2,70,1,60,1,"消耗自身20%的hp,对敌方全员造成毁灭性的物攻伤害",,28002,2,5,31,,,0,Skillhuo03,,1,,2
821,821,龙之舞,群4物,,0,2,35,1,15,6,"吐出强力声波攻击4名敌军,造成物攻伤害",,,6,,13,,,1,shouji04,,1,,2
822,822,破坏光线,单特,减特防,1,1,110,1,35,6,"灼烧1名敌人,造成特攻伤害,并减少其15%的特防2回合",,751,1,2,,4,6,1,SkillATT01,,1,,2
823,823,龙之波动,群6物,减物防,0,2,60,1,75,6,"剧烈怒吼摧毁全敌造成物攻伤害,并减少15%的物防2回合",,551,2,2,27,,,0,huo,,1,,2
831,831,祈愿,,单体治疗,,3,,1,30,4,"治疗一名友军,为其恢复基拉祈特攻25%的生命值",,10701,14,,,,42,1,jiaxue,,1,,2
832,832,治愈之愿,,群体治疗,,4,,1,50,4,召唤数道治疗光线为全体友军恢复基拉祈13%特攻生命值,,10703,12,3,,,43,1,jiaxue,,1,,2
833,833,愿望之惩,,群体治疗,,4,,1,75,4,"发出神圣光芒,恢复全体友军25%的最大生命值",,10963,12,3,28,,,1,jiaxue,,1,,2
841,841,疯狂滚压,单特,,1,1,75,1,20,11,"撞击1名敌人,对其造成特攻伤害,",,,1,,,,9,0,shouji04,,1,,2
842,842,冰霜守护,,单体持续回血,,3,,1,45,7,"为一名友军恢复25%的HP,并在3回合内继续恢复3%的HP",,10951|10972,14,1,,,46,1,shouji05,,1,,2
843,843,冰封世界,群6特,冻伤,1,2,60,1,70,7,"召唤雪暴对全敌造成特攻伤害,并使全体敌人进入冻伤状态",,10204,2,1,1,,2,0,bing,,1,,2
851,851,钳击,单物,,0,1,75,1,20,3,"使用巨大钳子攻击对手,造成物攻伤害",,,1,,,,39,1,shouji01,,1,,2
852,852,巨钳锤击,单物,晕眩,0,1,115,1,40,3,"冲撞1名敌人造成物攻,并有15%几率麻痹敌人1个回合",,10451,1,6,,,39,1,SkillATT02,,1,,2
853,853,战甲强化,变化,加双方,,5,,1,60,3,"彻底激活超合金战甲,在2回合内提高自身物防,特防80%",,12001,11,6,,,27,1,SkillATT01,,1,,2
861,861,蔓藤舞,单物,,1,1,75,1,20,3,"使用蔓藤攻击敌人,造成特攻伤害",,,1,,,,26,1,shouji01,,1,,2
862,862,叶之璇刃,弹2物,,1,6,65,1,45,3,"使用大量树叶攻击敌人,造成特攻伤害,弹射2次",,,5,6,,15,16,1,SkillATT03,,1,,2
863,863,奇异之花,,群体治疗,,4,,1,75,3,"散播奇异花粉,为全队恢复超妙蛙花22%特攻的HP",,10704,12,6,29,,,1,SkillATT01,,1,,2
871,871,高压水枪,单物,,0,1,75,1,20,2,"喷射极速水流攻击1名敌军,造成物攻伤害",,,1,,,23,47,1,bing,,1,,2
872,872,高速散射,群4特,,1,2,58,1,40,2,"全身炮火齐发,对4名敌人造成特攻伤害",,,6,1,,8,10,1,bing,,1,,2
873,873,阵地之王,群6特,加双防,1,2,60,1,70,2,"进入阵地模式,并在3回合提高自身30%的特防与物防",,453|653,11,1,40,,,0,SkillATT01,,1,,2
881,881,二连踢,单物,晕眩,0,2,65,1,20,2,用2只脚踢飞敌方单体，造成物攻伤害有15%几率麻痹对手,,10451,1,,,,21,0,SkillATT02,,1,,2
882,882,热水,群4物,,0,2,58,1,40,2,像对手喷射滚烫的开水造成物攻伤害，攻击敌方4人,,,6,1,,13,11,1,bing,,1,,2
883,883,水流强袭,群6物,加群体速度，减速,0,2,60,1,70,2,"召唤强袭水流摧毁全敌,并增加全队15%速度,减少全敌15%速度",,861|954,2,1,32,,,0,shouji04,4,1,,2
884,884,咬住,单物,,0,1,70,1,15,3,"快速的咬住敌人,对1个敌人造成物攻",,,1,,,,22,1,huo,,1,,2
885,885,挖洞,群4物,降物防,0,2,53,1,40,3,"突然攻击4个敌人,10%几率降低敌人10%物防2回合",,512,6,6,,19,19,1,shouji03,,1,,2
886,886,地神之力,群6物,群体加蓝 加物防,,5,,1,85,3,"2回合,提高全员35%的物防,并回复全员15点SP",,454|11453,12,6,,,43,1,SkillATT01,,1,,2
1001,1001,剑舞,提升全攻击,,,5,,1,20,1,"召唤奇异的剑来提升我方全体物攻15%和特攻15%,效果持续3回合",,51|251,12,,,,27,1,shouji05,,1,,2
1002,1002,瞪眼,降低全防御,,,5,,1,20,1,"用奇异的眼神来降低敌人全体物防15%和特防15%,效果持续3回合",,551|751,2,,,,28,1,shouji05,,1,,2
1003,1003,集气,提高暴击率,,,5,,1,20,1,"用特殊的技巧提高友方全体暴击率20%,效果持续3回合",,1451,12,,,,29,1,shouji05,,1,,2
1004,1004,快速奔跑,提高速度,,,5,,1,20,1,"高速移动的身体提高友方全体速度30%,效果持续3回合",,851,12,,,,30,1,shouji05,,1,,2
1101,1101,驱除盾愈,,减除所有负面效果,,5,,1,20,2,释放驱散类的盾光驱散己方全体所有负面效果,,10601,12,,,,31,1,shouji05,,1,,2
1102,1102,天使回复,,单体回复生命值最大的生命,,3,,1,35,2,"召唤天使回复友方单体血量,恢复值为释放者血量上限的15%",,10951,14,1,,,42,1,jiaxue,,1,,2
1103,1103,庇护,,减除所有负面效果+恢复特攻生命,,4,,1,60,2,"驱散队友全体的负面效果,并恢复相当于美纳斯特攻12%的HP",,10703|10601,12,1,,,42,1,jiaxue,,1,,2
1104,1104,嚎叫,,降低全攻击,,5,,1,20,2,"用嘶吼叫声来降低敌人全体物攻15%和特攻15%,效果持续3回合",,151|351,2,,,,32,1,shouji05,,1,,2
1201,1201,睡眠粉,变化,睡眠,,5,,1,30,3,"挥洒昏睡的粉末使敌方睡眠,15%几率睡眠成功,效果持续2回合",,10551,2,,,,33,1,shouji05,,1,,2
1202,1202,麻痹粉,变化,麻痹,,5,,1,30,3,"挥洒麻痹的粉末使敌方麻痹,15%几率麻痹成功,效果持续2回合",,10451,2,,,,34,1,shouji05,,1,,2
1203,1203,毒粉,变化,中毒,,5,,1,30,3,"挥洒中毒的粉末使敌方中毒,15%几率中毒成功,效果持续3回合",,10051,2,,,,35,1,shouji05,,1,,2
1204,1204,寄生种子,特中单,吸血,1,2,25,1,35,3,"用种子寄生敌人全体体内,每回合回复其伤害的50%血量,持续3回合",,11151,2,6,,27,17,1,shouji05,,1,,2
1301,1301,生蛋,,单体治疗,,3,,1,35,4,"用特制的蛋回复目标血量,恢复值为释放者血量上限的25%",,10951,14,3,,,42,1,jiaxue,,1,,2
1302,1302,光墙,,提升3回合伤害,,5,,1,25,4,"用光芒制作一面墙,提升友方的伤害15%,效果持续3回合",,1851,12,,,,36,1,shouji05,,1,,2
1303,1303,治愈之光,,群体治疗,,4,,1,60,4,"释放治愈波治疗伙伴血量,恢复值为释放者血量上限的15%",,10952,12,3,,,43,1,jiaxue,,1,,2
1304,1304,睡觉,,睡2回合，回复全部生命,,5,,1,40,4,"主动进入睡眠状态,回复自身血量上限35%血量,睡眠持续3回合",,10561|10961,11,3,,,42,1,jiaxue,,1,,2
1305,1305,救援光,,单体治疗,,3,,1,30,4,"治疗一名友军,为其恢复特攻25%的生命值",,10701,14,,,,42,1,jiaxue,,1,,2
1306,1306,治疗光束,,群体治疗,,4,,1,65,4,"召唤数道治疗光线,为全体友军恢复特攻18%的生命值",,10702,12,3,,,43,1,jiaxue,,1,,2
1307,1307,愈合之叶,,群体治疗,,4,,1,65,3,使用神奇的树叶为全队恢复18%特攻的HP,,10702,12,6,,,43,1,jiaxue,,1,,2
1402,1402,自我回复,,返回生命上限百分比血量,,3,,1,30,5,"使身体发生治愈,自身回复血量上限的25%血量",,10951,11,,,,42,1,jiaxue,,1,,2
1403,1403,咒语,,减双攻,,5,,1,45,5,使用咒语攻击敌人，使其损失释放者特攻的10%的HP，并减少15%的双攻2回合,,151|351|13184,1,4,,25,1,0,shouji05,,1,,2
1404,1404,雾瓦斯,,中毒,,5,,1,30,5,"释放毒瓦斯攻击敌方全体，使敌人中毒,20%几率成功,效果持续3回合",,10052,2,,16,,,1,shouji05,,1,,2
1501,1501,生长,,提高双高攻,,5,,1,20,6,"使伙伴疯狂生长,提升我方物攻15%和特攻15%,效果持续3回合",,51|251,12,,,,37,1,shouji05,,1,,2
1502,1502,影子分身,,提高闪避,,5,,1,30,6,"用影子进行分身,提高友方的闪避率15%,效果持续3回合",,1251,12,,,,38,1,shouji05,,1,,2
1503,1503,混乱猛击,,让对方混乱,,5,,1,30,6,"对敌方猛击,15%几率使敌人混乱,持续2回合",,10351,2,,,,1,0,shouji05,,1,,2
1504,1504,蛰伏,,提高闪避,,5,,1,30,3,"进入警戒状态,提高己方全队25%的特防与物防、5%的闪避2回合",,12104,12,,,,38,1,shouji05,,1,,2
1505,1505,急救波,,单体治疗,,3,,1,30,4,"治疗一名友军,为其恢复自身特攻25%的生命值",,10701,14,,,,42,1,jiaxue,,1,,2
1601,1601,冰盾,,提高双防,,5,,1,60,7,"冰气息作的盾,提升我方物防20%和特防20%,效果持续3回合",,452|652,12,,,,27,1,shouji05,,1,,2
1602,1602,白雾疗,,单体持续回血,,3,,1,45,7,"单疗,回复基于释放者血量上限的15%,之后3回合每回合回复4%",,10954|10971,14,1,,,42,1,jiaxue,,1,,2
1603,1603,白雾愈合,,群体持续回血,,4,,1,60,7,"群疗,回复基于释放者血量上限的9%,之后3回合每回合回复3%",,10955|10972,12,1,,,42,1,jiaxue,,1,,2
1701,1701,聚气,,下2回合必定暴击,,5,,1,40,1,作用目标下2个回合必定暴击,,13301,14,5,,,80,1,huo,,1,,2
1702,1702,思考,,特攻，特防+10%,,5,,1,45,2,"回复友方单体特攻值10%的血量,战斗结束前特攻+10%,特防+10%,不可叠加",,13311|13312,14,1,,,76,1,bing,,1,,2
1703,1703,撒菱,,,0,2,10,1,45,3,"攻击对方全体,之后场上全体精灵每回合减少释放者特攻6%的生命值,持续4回合",,13321|13322,2,6,53,,,1,shouji01,,1,,2
1704,1704,模仿,,,1,1,30,1,50,4,"攻击对方单体,减少对方15点SP",,13331,1,3,,,79,1,shouji02,,1,,2
1705,1705,自由落体,,,0,1,30,1,40,5,"攻击敌方单体,之后2回合内,自身和目标都麻痹",,13341|13342,1,4,,,77,1,shouji03,,1,,2
1706,1706,初始力量,,,,5,,1,45,6,"回复最大生命值10%的血量,全属性提升5%,直到战斗结束",,13351|13352,14,2,,,75,1,shouji04,,1,,2
1707,1707,虚张声势,,,,5,,1,40,8,"使用后目标陷入中毒状态,伤害+50%,持续2回合",,13361|13362,14,4,,,78,1,shouji03,,1,,2
2000,2000,幽灵之光,特初单,,1,1,50,1,15,8,"显示奇怪的光,扰乱对手进行攻击",,,4,,,19,1,1,SkillATT03,,1,,2
2001,2001,舌舔,特中单,降特攻,1,1,110,1,40,8,"用长长的舌头,几率舔遍对手,40%几率降低目标特攻10%1回合",,308,1,4,,19,1,1,shouji03,,1,,2
2002,2002,恶梦,特高单,概率2倍伤害,1,1,155,1,60,8,"让对手做恶梦,攻击单个敌人，10%几率下次伤害X2",,1871,1,4,,14,51,0,SkillATT02,,1,,2
2003,2003,怨恨,特初群,,1,2,30,1,20,8,对对手最后使用的招式怀有怨恨,,,6,,,,,1,shouji03,,1,,2
2004,2004,诅咒,特中群,降特防,1,2,53,1,40,8,"使用该招式的宝可梦,20%几率降低目标特防10%1回合",,718,6,4,,,,1,shouji03,,1,,2
2005,2005,同命,特高群,降低sp,1,2,80,1,65,8,5%几率使敌人中毒2回合,,,6,4,,,45,0,SkillATT02,,1,,2
2006,2006,暗影球,普初单,,0,1,65,1,15,8,投掷一团黑影进行攻击,,,1,,,,1,1,shouji03,,1,,2
2007,2007,暗影拳,普中单,降物攻,0,1,110,1,40,8,"使出混影之拳,40%几率降低目标物攻10%1回合",,108,1,4,,,21,1,shouji03,,1,,2
2008,2008,暗影爪,普高单,降低sp,0,1,155,1,60,8,"以影子做成的锐爪,劈开对手,有18%几率使敌人混乱1回合",,10303,1,4,,,49,0,SkillATT02,,1,,2
2009,2009,影子偷袭,普初弹,,0,6,40,1,20,8,"伸长影子,从对手的背后进行攻击,弹射2次",,,5,,,20,1,1,shouji03,,1,,2
2010,2010,奇异之风,普初群,,0,2,35,1,20,8,突然刮起毛骨悚然的暴风攻击对手,,,5,,,1,1,1,Skillfeng01,,1,,2
2011,2011,暗影潜袭,普中群,降物防,0,2,53,1,40,8,"突然攻击4个敌人,20%几率降低目标物防10%1回合",,518,6,4,,19,19,1,SkillATT01,,1,,2
2012,2012,祸不单行,普高群,麻痹,0,2,65,1,65,8,"轰炸5个敌人,9%几率麻痹对手1回合",,10413,7,4,,,19,0,shouji03,,1,,2
2013,2013,万圣夜,群6特,吸血20,1,2,65,1,75,8,"邀请对手参加万圣夜,附加伤害15%的吸血",,11101,2,4,35,,,0,shouji02,,1,,2
2014,2014,潜灵奇袭,群4特,混乱10,1,2,53,1,40,8,"隐身对4个敌人攻击,10%几率让对手进入混乱1回合",,10313,6,4,,,50,1,shouji03,,1,,2
2015,2015,拍击,特初单（吸血）,吸血10,1,1,70,1,15,8,"攻击1名敌人要害,造成特攻伤害附加伤害15%的吸血",,11101,1,,,1,1,1,SkillATT02,,1,,2
2016,2016,幽灵影风,群3特(提升全属性）,,1,2,80,1,70,8,"攻击对方3人,有20%的概率提升自身的双攻10%,双防10%和速度10%,持续3回合",,13001,5,4,51,,,0,shouji03,,1,,2
2017,2017,潜灵影击,普高群,第一回合无敌，第二回合真实伤害，且不能行动,0,2,40,1,70,8,"攻击敌方3人,10%概率混乱目标2回合,1回合自身无法被命中,下回合对敌方3人造成物攻的12%的伤害,但自身麻痹1回合",,13281|13283|13285,5,4,,,73,0,SkillATT01,,1,,2
2101,2101,密语,特中单,驱除效果,1,1,100,1,40,9,"攻击敌人单体,驱除敌方单体所有状态",,13371,1,7,,,81,1,shouji05,,1,,2
2102,2102,百万吨重拳,普中单,降低双攻,0,1,100,1,45,9,使用拳头对敌方单体造成巨大的伤害，并有30%几率降低目标双攻20%2回合,,13431,1,7,,,82,1,shouji05,,1,,2
2103,2103,唱歌,特中群,睡眠,1,2,40,1,45,9,用歌声攻击敌方3人，有15%几率让目标进入睡眠状态1回合,,13381,5,7,54,,,1,shouji05,,1,,2
2104,2104,挣扎,普高单,自身损血,0,1,200,1,55,9,对敌人单体造成大量伤害，但自身要损失最大生命值的15%的血量,,13391,1,7,,,83,0,shouji05,,1,,2
2105,2105,治愈铃声,变化,全体回血，驱除效果,,5,,1,60,9,驱除己方全体的所有状态并回复己方全体生命值上限15%的血量,,13402|13401,12,7,55,,,1,jiaxue,,1,,2
2106,2106,挠痒,特单高,降低物攻和物防,1,1,60,1,60,9,"对敌人单体造成伤害,并100%几率降低目标的物攻和物防20%,持续3回合",,13411,1,7,,,84,0,shouji05,,1,,2
2107,2107,拍打,普群中,麻痹,0,2,35,1,45,9,对敌方4个敌人攻击，12%几率让对手进入麻痹状态1回合,,13441,6,7,56,,,1,shouji05,,1,,2
2108,2108,夹住,普群高,混乱,0,2,45,1,65,9,将敌方全体从两侧夹住，给于伤害后，有6%几率使敌人进入混乱状态1回合,,13451,2,7,57,,,0,shouji05,,1,,2
2109,2109,音爆,特群高,额外生命值上限,1,2,70,1,60,9,对敌方3人造成伤害并额外造成其生命值上限6%的伤害,,13421,5,7,58,,,0,shouji05,,1,,2
2110,2110,撞击,普初单,,0,1,80,1,15,9,用整个身体撞向对手进行攻击，攻击敌方单体,,,1,,,,69,1,shouji05,,1,,2
2111,2111,舍身冲撞,普中单,自身掉血+高伤害,0,1,155,1,40,9,"拼命地猛撞向对手进行攻击，攻击敌方单体，技能威力得到大幅度提升,但是自己要损失最大生命值的8%伤害",,13461,1,7,,,69,1,shouji05,,1,,2
2112,2112,怪力,普初群,,0,2,40,1,20,9,使出浑身力气殴打对手进行攻击，攻击敌方3人,,,5,,56,,,1,shouji05,,1,,2
2113,2113,泰山压顶,普中群,下次暴击率增加,0,2,52,1,45,9,用整个身体压住对手进行攻击，攻击敌方3人，下次攻击暴击率增加20%,,13471,5,7,61,,,1,shouji05,,1,,2
2114,2114,风刃,特初单,,1,1,80,1,15,9,制造风之刃，攻击敌方单体,,,1,,,,50,1,shouji05,,1,,2
2115,2115,破坏死光,特中单,高伤害,1,1,140,1,40,9,向对手发射强烈的光线进行攻击，攻击敌方单体，技能威力得到大幅度提升,,,1,7,,,67,1,shouji05,,1,,2
2116,2116,巨声,特初群,,1,2,40,1,20,9,给予对手又吵又响的巨大震动进行攻击，攻击敌方3人,,,5,,54,,,1,shouji05,,1,,2
2117,2117,爆音波,特中群,下次暴击率增加,1,2,52,1,45,9,通过震耳欲聋的爆炸声产生的破坏力，攻击敌方3人，下次攻击暴击率增加20%,,13471,5,7,62,,,1,shouji05,,1,,2
2201,2201,电击,特殊初单,麻痹,1,1,70,1,15,10,发出电流攻击对手，攻击敌方单体，6%概率麻痹对手1回合,,10401,1,,,3,5,1,shouji05,,1,,2
