效果ID,注释,火系技能威力百分比,水系技能威力百分比,草系技能威力百分比,妖系技能威力百分比,恶系技能威力百分比,龙系技能威力百分比,冰系技能威力百分比,鬼系技能威力百分比,普通系技能威力,电系技能威力,虫系技能威力,飞行系技能威力,地面系技能威力,岩石系技能威力,格斗系技能威力,超能系技能威力,钢系技能威力,毒系技能威力,暴击伤害百分比,暴击率百分比,命中百分比,闪避百分比,伤害增加百分比,伤害减免百分比,血量百分比,物攻百分比,特攻百分比,物防百分比,特防百分比,速度百分比,血量固定值,物攻固定值,特攻固定值,物防固定值,特防固定值,速度固定值
2401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,10,50,
2402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,,,15,90,
2403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,,,20,140,
2404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,,,25,200,
2405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,,,30,270,
2406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105,,,35,350,
2407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120,,,40,440,
2408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135,,,45,540,
2409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,,,50,650,
2410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165,,,55,770,
2411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180,,,60,900,
2412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,195,,,65,1040,
2500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,1,,,5
2501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,10,,,50
2502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,,15,,,90
2503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,,20,,,140
2504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,,25,,,200
2505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,,30,,,270
2506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105,,35,,,350
2507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120,,40,,,440
2508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135,,45,,,540
2509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,,50,,,650
2510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165,,55,,,770
2511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180,,60,,,900
2512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,195,,65,,,1040
2600,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,3,,,1,1,
2601,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,30,,,10,10,
2602,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,45,,,15,15,
2603,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,60,,,20,20,
2604,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,,,75,,,25,25,
2605,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,90,,,30,30,
2606,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,,,,,,105,,,35,35,
2607,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,,,,,,120,,,40,40,
2608,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,,,,,,135,,,45,45,
2609,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,,,,,,150,,,50,50,
2610,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,,,,165,,,55,55,
2611,,,,,,,,,,,,,,,,,,,,,,,,,,0.11,,,,,,180,,,60,60,
2612,,,,,,,,,,,,,,,,,,,,,,,,,,0.12,,,,,,195,,,65,65,
2700,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,1,1,,,1
2701,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,10,10,,,10
2702,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,15,15,,,15
2703,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,20,20,,,20
2704,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,,,25,25,,,25
2705,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,30,30,,,30
2706,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,,,,,,35,35,,,35
2707,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,,,,,,40,40,,,40
2708,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,,,,,,45,45,,,45
2709,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,,,,,,50,50,,,50
2710,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,,,,55,55,,,55
2711,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11,,,,,,60,60,,,60
2712,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12,,,,,,65,65,,,65
2800,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,3,3,,
2801,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,35,35,,
2802,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,45,45,,
2803,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,55,55,,
2804,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,,,65,65,,
2805,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,75,75,,
2806,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,,,,,,85,85,,
2807,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,,,,,,95,95,,
2808,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,,,,,,105,105,,
2809,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,,,,,,115,115,,
2810,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,,,,125,125,,
2811,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11,,,,,,135,135,,
2812,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12,,,,,,145,145,,
2900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,3,,,3,
2901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,35,,,35,
2902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,45,,,45,
2903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,55,,,55,
2904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,65,,,65,
2905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,75,,,75,
2906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,,,,85,,,85,
2907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,,,,95,,,95,
2908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,,,,105,,,105,
2909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,,,,115,,,115,
2910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,,125,,,125,
2911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11,,,,135,,,135,
2912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12,,,,145,,,145,
3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,9,,,,,3
3001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,105,,,,,35
3002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,135,,,,,45
3003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,165,,,,,55
3004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,195,,,,,65
3005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,225,,,,,75
3006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,,255,,,,,85
3007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,,285,,,,,95
3008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,,315,,,,,105
3009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,,345,,,,,115
3010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,375,,,,,125
3011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11,,405,,,,,135
3012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12,,435,,,,,145
3100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,5,5,,
3101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,35,35,,
3102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,45,45,,
3103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,55,55,,
3104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,65,65,,
3105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,75,75,,
3106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,,,85,85,,
3107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,,,95,95,,
3108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,,,105,105,,
3109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,,,115,115,,
3110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,125,125,,
3111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11,,,135,135,,
3112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12,,,145,145,,
3200,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,5,,,5,
3201,,,,,,,,,,,,,,,,,,,,,,,,,,,0.005,0.005,,,,,35,,,35,
3202,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.01,,,,,45,,,45,
3203,,,,,,,,,,,,,,,,,,,,,,,,,,,0.015,0.015,,,,,55,,,55,
3204,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.02,,,,,65,,,65,
3205,,,,,,,,,,,,,,,,,,,,,,,,,,,0.025,0.025,,,,,75,,,75,
3206,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,0.03,,,,,85,,,85,
3207,,,,,,,,,,,,,,,,,,,,,,,,,,,0.035,0.035,,,,,95,,,95,
3208,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,0.04,,,,,105,,,105,
3209,,,,,,,,,,,,,,,,,,,,,,,,,,,0.045,0.045,,,,,115,,,115,
3210,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,0.05,,,,,125,,,125,
3211,,,,,,,,,,,,,,,,,,,,,,,,,,,0.055,0.055,,,,,135,,,135,
3212,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,0.06,,,,,145,,,145,
4000,4000~4099是名望等级收益,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,
4001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,
4002,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,
4003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,
4004,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,
4005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,
4006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,
4007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,
4008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,
4009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,
4010,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,
4011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,
4012,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,
4013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,
4014,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,
4015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,
4016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,
4017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,
4018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,
4019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,
4020,,,,,,,,,,,,,,,,,,,,,,,,,,0.025,,,,,,,,,,,
4021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,
4022,,,,,,,,,,,,,,,,,,,,,,,,,,,0.025,,,,,,,,,,
4023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,,
4024,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.025,,,,,,,,,
4025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,,,
4026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.025,,,,,,,,
4027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,,,,
4028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.025,,,,,,,
4029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300,,,,,
4030,,,,,,,,,,,,,,,,,,,,,,,,,,0.025,,,,,,,,,,,
4031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,
4032,,,,,,,,,,,,,,,,,,,,,,,,,,,0.025,,,,,,,,,,
4033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,,
4034,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.025,,,,,,,,,
4035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,,,
4036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.025,,,,,,,,
4037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,,,,
4038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.025,,,,,,,
4039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300,,,,,
4040,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,
4041,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,
4042,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,
4043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,
4044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,
4045,,,,,,,,,,,,,,,,,,,,,,,,,,0.035,,,,,,,,,,,
4046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300,
4047,,,,,,,,,,,,,,,,,,,,,,,,,,,0.035,,,,,,,,,,
4048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300,,
4049,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.035,,,,,,,,,
4050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300,,,
4051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.035,,,,,,,,
4052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300,,,,
4053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.035,,,,,,,
4054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600,,,,,
4055,,,,,,,,,,,,,,,,,,,,,,,,,,0.035,,,,,,,,,,,
4056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300,
4057,,,,,,,,,,,,,,,,,,,,,,,,,,,0.035,,,,,,,,,,
4058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300,,
4059,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.035,,,,,,,,,
4060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300,,,
4061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.035,,,,,,,,
4062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300,,,,
4063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.035,,,,,,,
4064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600,,,,,
4065,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,
4066,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,
4067,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,
4068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,
4069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,
4070,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,
4071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500,
4072,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,
4073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500,,
4074,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,
4075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500,,,
4076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,
4077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500,,,,
4078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,
4079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,,,,,
4080,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,
4081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500,
4082,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,
4083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500,,
4084,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,
4085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500,,,
4086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,
4087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500,,,,
4088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,
4089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,,,,,
4090,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,,,,,,,,,,,
4091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500,
4092,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,,,,,,,,,,
4093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500,,
4094,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,,,,,,,,,
4095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500,,,
4096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,,,,,,,,
4097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500,,,,
4098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,,,,,,,
4099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,,,,,
10001,10001~11000是宝可梦组合,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,200,
10002,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,200,
10003,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,200,
10004,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,100,,,50
10005,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,50,,50,
10006,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,300,,100,50,,
10007,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,,,
10008,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,,150,,
10009,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,200,50,100,,,
10010,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,200,,50,,,
10011,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,,150,
10012,,0.01,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,,,200
10013,,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400,,200,,,
10014,,,0.01,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,200,200,,,
10015,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,200,300,,
10016,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,100,200,100,,,
10017,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,150,,,100
10018,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.01,,,,,,,,,50
10019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,200,200,
10020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,500,,,300,,
10021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,150,100,100,50
10022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,500,,
10023,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,500,,,,,
10024,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,0.01,0.01,,,,,100,,,,
10025,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.01,,,300,,,,
10026,,,,,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,300,,,
10027,,0.01,0.01,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,200,,,
10028,,,,,,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,150,
10029,,,,0.01,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,200,,,,,150
10030,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,0.01,0.01,0.02,0.02,,,,,,,
10031,,0.02,0.02,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10032,,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10033,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,200,200,,,50
10034,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.02,,,0.05,500,,,,,
21100,新携带品稀固定属性,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120,,,,,
21101,固定生命1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160,,,,,
21102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,,,,,
21103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240,,,,,
21104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320,,,,,
21105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400,,,,,
21106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,480,,,,,
21107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,640,,,,,
21108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,800,,,,,
21109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,960,,,,,
21110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1280,,,,,
21111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1600,,,,,
21112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1920,,,,,
21113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2560,,,,,
21114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3200,,,,,
21115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3840,,,,,
21200,固定物攻1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,,,,
21201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,
21202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,
21203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120,,,,
21204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160,,,,
21205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,,,,
21206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240,,,,
21207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320,,,,
21208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400,,,,
21209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,480,,,,
21210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,640,,,,
21211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,800,,,,
21212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,960,,,,
21213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1280,,,,
21214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1600,,,,
21215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1920,,,,
21300,固定特攻1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,,,
21301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,
21302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,
21303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120,,,
21304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160,,,
21305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,,,
21306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240,,,
21307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320,,,
21308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400,,,
21309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,480,,,
21310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,640,,,
21311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,800,,,
21312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,960,,,
21313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1280,,,
21314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1600,,,
21315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1920,,,
21400,固定速度1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
21401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
21402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10
21403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12
21404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16
21405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20
21406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24
21407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32
21408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40
21409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48
21410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64
21411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80
21412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96
21413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128
21414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160
