道具ID,道具名,道具简介,等级限制,品质（道具框颜色）,排序（不对玩家显示，主要用于排序）,道具类型(1.货币 2.可使用的道具 3.一般消耗素材 4.亲密度道具 5.努力值道具 6.进化素材7.捕捉道具8.技能学习道具9.随机道具10.兑换道具11.精灵碎片 12.角色附魔道具 13.神器强化道具 14.家园建筑制作图纸 15.神器制作图纸 16.用于万能碎片兑换的宝可梦碎片),可使用,所属背包（1.道具 2.学习机. 3.材料 4.其他,"获取面板索引：跳转界面编号出现界面(1:挂机界面,2:精灵界面,3:扭蛋,4:竞技场,5:特殊副本,6:通天塔,7:商店,8:狩猎区,9:主城,10:背包,11:公会,12,角色购买界面,13:活动,14:神兽商店,15:充值,16:任务,17:玩家信息,18:vip,19:称号,20:徽章,21:邮件,22:地图选择,23:聊天,24:好友,25:排行榜,26:培养,27:技能,28:性格,29:图鉴,30:装备,31:队形，32:背包,33:升星,34:确认,35:精灵详情,36:快速战斗,37:签到，41：队伍升级 42:亲密度,43:进化,44:努力值,45:个体值,51:宠物商店，40：秘境，51：终生卡，52：成长基金,72:道馆)",包含道具Loot（引用道具掉落表）（lootid;数量|lootid;数量),获得道具（ID;数量｜ID;数量）,参数预留1（类型5.努力值道具 类型4.亲密度经验.类型7.抓捕增加概率 /100 类型8.引用技能id 类型12.附魔经验）,参数预留2（类型5.努力值道具 类型4.亲密度经验.类型7.抓捕增加概率 /100 类型8.引用技能id 类型12.附魔经验）,购买所需物品id,购买价格,物攻,特攻,物防,特防,速度,生命,,,,,,,,,
10405,30级成长礼包,礼包内有道具！,,3,,2,1,1,,,10308;20|12003;80|1;1000000|12151;100,,,,,,,,,,,,,,,,,,,
10406,40级高手礼包,礼包内有道具！,,3,,2,1,1,,,601123;120|10309;3|12003;100|12151;100,,,,,,,,,,,,,,,,,,,
10501,时装-透也,开启后，将获得妙蛙草和大量道具！,,4,,2,1,1,,,5001;1,,,,,,,,,,,,,,,,,,,
10502,时装-透子,开启后，您将获得时装-透子，获得时装后，请在主角界面下更换显示,,4,,2,1,1,,,5002;1,,,,,,,,,,,,,,,,,,,
10503,时装-希罗娜,开启后，您将获得时装-希罗娜，获得时装后，请在主角界面下更换显示,,4,,2,1,1,18,,5003;1,,,,,,,,,,,,,,,,,,,
10504,时装-嘉德丽雅,开启后，您将获得时装-嘉德丽雅，获得时装后，请在主角界面下更换显示,,4,,2,1,1,18,,5004;1,,,,,,,,,,,,,,,,,,,
10505,时装-渡,开启后，您将获得时装-渡，获得时装后，请在主角界面下更换显示,,4,,2,1,1,51,,5005;1,,,,,,,,,,,,,,,,,,,
10506,时装-莉佳,开启后，您将获得时装-莉佳，获得时装后，请在主角界面下更换显示,,4,,2,1,1,13,,5006;1,,,,,,,,,,,,,,,,,,,
10507,时装-神秘人,开启后，您将获得时装-神秘人，获得时装后，请在主角界面下更换显示,,4,,2,1,1,,,5007;1,,,,,,,,,,,,,,,,,,,
10508,时装-艾莉丝,开启后，您将获得时装-艾莉丝，获得时装后，请在主角界面下更换显示,,4,,2,1,1,,,5008;1,,,,,,,,,,,,,,,,,,,
10509,时装-白露,开启后，您将获得时装-白露，获得时装后，请在主角界面下更换显示,,4,,2,1,1,13,,5009;1,,,,,,,,,,,,,,,,,,,
10510,时装-水系女,开启后，您将获得时装-水系女，获得时装后，请在主角界面下更换显示,,4,,2,1,1,13,,5010;1,,,,,,,,,,,,,,,,,,,
10511,时装-小遥,开启后，您将获得时装-小遥，获得时装后，请在主角界面下更换显示,,4,,2,1,1,,,5011;1,,,,,,,,,,,,,,,,,,,
10513,时装-火岩,开启后，您将获得时装-火岩，获得时装后，请在主角界面下更换显示,,4,,2,1,1,18,,5013;1,,,,,,,,,,,,,,,,,,,
10514,时装-迪克,开启后，您将获得时装-迪克，获得时装后，请在主角界面下更换显示,,4,,2,1,1,,,5014;1,,,,,,,,,,,,,,,,,,,
10515,时装-蓝鲸透子,开启后，您将获得时装-蓝鲸透子，获得时装后，请在主角界面下更换显示,,4,,2,1,1,7,,5015;1,,,,,,,,,,,,,,,,,,,
10516,时装-不羁迈克,开启后，您将获得时装-不羁迈克，获得时装后，请在主角界面下更换显示,,4,,2,1,1,,,5016;1,,,,,,,,,,,,,,,,,,,
10517,时装-云神小天,开启后，您将获得时装-云神小天，获得时装后，请在主角界面下更换显示,,4,,2,1,1,18,,5017;1,,,,,,,,,,,,,,,,,,,
10519,时装-悠闲共平,开启后，您将获得时装-悠闲共平，获得时装后，请在主角界面下更换显示,,4,,2,1,1,,,5019;1,,,,,,,,,,,,,,,,,,,
10520,时装-顽皮彩也,开启后，您将获得时装-顽皮彩也，获得时装后，请在主角界面下更换显示,,4,,2,1,1,52,,5020;1,,,,,,,,,,,,,,,,,,,
10521,时装-绿铃芽米,开启后，您将获得时装-绿铃芽米，获得时装后，请在主角界面下更换显示,,4,,2,1,1,,,5021;1,,,,,,,,,,,,,,,,,,,
10522,时装-红鸢真菰,开启后，您将获得时装-红鸢真菰，获得时装后，请在主角界面下更换显示,,4,,2,1,1,,,5022;1,,,,,,,,,,,,,,,,,,,
10523,时装-地蜘赤日,开启后，您将获得时装-地蜘赤日，获得时装后，请在主角界面下更换显示,,4,,2,1,1,,,5023;1,,,,,,,,,,,,,,,,,,,
10525,时装-骨岩瓢太,开启后，您将获得时装-骨岩瓢太，获得时装后，请在主角界面下更换显示,,4,,2,1,1,,,5025;1,,,,,,,,,,,,,,,,,,,
10535,时装-欢乐小厨,开启后，您将获得时装-欢乐小厨，获得时装后，请在主角界面下更换显示,,4,,2,1,1,,,5035;1,,,,,,,,,,,,,,,,,,,
10536,时装-白衣警察,开启后，您将获得时装-白衣警察，获得时装后，请在主角界面下更换显示,,4,,2,1,1,,,5030;1,,,,,,,,,,,,,,,,,,,
10537,时装-博士,开启后，您将获得时装-博士，获得时装后，请在主角界面下更换显示,,4,,2,1,1,,,5029;1,,,,,,,,,,,,,,,,,,,
10538,时装-热血格斗,开启后，您将获得时装-热血格斗，获得时装后，请在主角界面下更换显示,,4,,2,1,1,,,5032;1,,,,,,,,,,,,,,,,,,,
10539,时装-蛮牛冲冲,开启后，您将获得时装-蛮牛冲冲，获得时装后，请在主角界面下更换显示,,4,,2,1,1,,,5033;1,,,,,,,,,,,,,,,,,,,
10540,时装-光头佬,开启后，您将获得时装-光头佬，获得时装后，请在主角界面下更换显示,,4,,2,1,1,,,5031;1,,,,,,,,,,,,,,,,,,,
10541,时装-小蛮,开启后，您将获得时装-小蛮，获得时装后，请在主角界面下更换显示,,4,,2,1,1,,,5028;1,,,,,,,,,,,,,,,,,,,
10542,时装-霸兽小黑,开启后，您将获得时装-霸兽小黑，获得时装后，请在主角界面下更换显示,,4,,2,1,1,,,5027;1,,,,,,,,,,,,,,,,,,,
10543,时装-玉龙透也,开启后，您将获得时装-玉龙透也，获得时装后，请在主角界面下更换显示,,4,,2,1,1,,,5026;1,,,,,,,,,,,,,,,,,,,
10544,时装-玉龙透也MAX,开启后，您将获得时装-玉龙透也MAX，获得时装后，请在主角界面下更换显示,,4,,2,1,1,,,5040;1,,,,,,,,,,,,,,,,,,,
10601,携带品宝箱LV1,会随机产出携带品的宝箱，等级越高产出的携带品越稀有,,5,10,2,1,1,5;7,10001;1,,,,,,,,,,,,,,,,,,,,
10602,携带品宝箱LV2,会随机产出携带品的宝箱，等级越高产出的携带品越稀有,,0,10,2,1,1,5;7,10002;1,,,,,,,,,,,,,,,,,,,,
10603,携带品宝箱LV3,会随机产出携带品的宝箱，等级越高产出的携带品越稀有,,1,10,2,1,1,5;7,10003;1,,,,,,,,,,,,,,,,,,,,
10604,携带品宝箱LV4,会随机产出携带品的宝箱，等级越高产出的携带品越稀有,,2,10,2,1,1,5;7,10004;1,,,,,,,,,,,,,,,,,,,,
10605,携带品宝箱LV5,会随机产出携带品的宝箱，等级越高产出的携带品越稀有,,3,10,2,1,1,5;7,10005;1,,,,,,,,,,,,,,,,,,,,
10606,携带品宝箱LV6,会随机产出携带品的宝箱，等级越高产出的携带品越稀有,,4,10,2,1,1,5;7,10006;1,,,,,,,,,,,,,,,,,,,,
10701,新手碎片宝箱,随机产出3个新手宝可梦的碎片,,1,1,2,1,1,,901;1|901;1|901;1,,,,,,,,,,,,,,,,,,,,
10702,初级碎片宝箱,随机产出5个宝可梦的碎片,,2,2,2,1,1,,900;1|900;1|900;1|900;1|900;1,,,,,,,,,,,,,,,,,,,,
10703,高级碎片宝箱,随机产出30个宝可梦的碎片,,3,3,2,1,1,,900;1|900;1|900;1|900;1|900;1|900;1|900;1|900;1|900;1|900;1|900;1|900;1|900;1|900;1|900;1|900;1|900;1|900;1|900;1|900;1|900;1|900;1|900;1|900;1|900;1|900;1|900;1|900;1|900;1|900;1,,,,,,,,,,,,,,,,,,,,
12001,奶酪,亲密度果实，亲密度经验+20,,0,1,4,0,3,7;54,,,20,,,,,,,,,,,,,,,,,,
12002,蘑菇,亲密度果实，亲密度经验+40,,1,2,4,0,3,7;54,,,40,,,,,,,,,,,,,,,,,,
12003,蜂蜜,亲密度果实，亲密度经验+60,,2,3,4,0,3,7;54,,,60,,,,,,,,,,,,,,,,,,
12004,青椒,亲密度果实，亲密度经验+100,,2,4,4,0,3,7;54,,,100,,,,,,,,,,,,,,,,,,
12005,葡萄,亲密度果实，亲密度经验+140,,3,5,4,0,3,7;54,,,140,,,,,,,,,,,,,,,,,,
12006,苹果,亲密度果实，亲密度经验+180,,3,6,4,0,3,7;54,,,180,,,,,,,,,,,,,,,,,,
12007,草莓,亲密度果实，亲密度经验+240,,4,7,4,0,3,7;54,,,240,,,,,,,,,,,,,,,,,,
12008,菠萝,亲密度果实，亲密度经验+300,,4,8,4,0,3,7;54,,,300,,,,,,,,,,,,,,,,,,
12101,火之石,这石头好烫啊，原来是火系精灵进化使用的,,3,9,3,0,3,5;7;6,,,,,,,,,,,,,,,,,,,,,
12102,水之石,这石头好温和啊，原来是水系精灵进化使用的,,3,10,3,0,3,5;7;6,,,,,,,,,,,,,,,,,,,,,
12103,草之石,这石头是做什么的呢，原来是草系精灵进化使用的,,3,11,3,0,3,5;7;6,,,,,,,,,,,,,,,,,,,,,
12104,妖之石,这石头好奇怪哦，原来是妖系精灵进化使用的,,3,12,3,0,3,5;7;6,,,,,,,,,,,,,,,,,,,,,
12105,恶之石,这石头好难看呢，原来是恶系精灵进化使用的,,3,13,3,0,3,5;7;6,,,,,,,,,,,,,,,,,,,,,
12106,龙之石,这石头好漂亮，原来是龙系精灵进化使用的,,3,14,3,0,3,5;7;6,,,,,,,,,,,,,,,,,,,,,
12107,冰之石,这石头好凉爽啊，原来是冰系精灵进化使用的,,3,15,3,0,3,5;7;6,,,,,,,,,,,,,,,,,,,,,
12108,鬼之石,这石头好阴暗啊，原来是鬼系精灵进化使用的,,3,15,3,0,3,5;7;6,,,,,,,,,,,,,,,,,,,,,
12109,普通石,这石头有独特的气息，原来是普通系精灵进化使用的,,3,15,3,0,3,5;7;6,,,,,,,,,,,,,,,,,,,,,
12111,超进化石,可使橙色宝可梦突破自身进化上限的神器石头,,3,99,6,0,3,5;7;6,,,,,,,,,,,,,,,,,,,,,
12121,电之石,这石头充满了雷电，原来是电系精灵进化使用的,,3,15,3,0,3,5;7;6,,,,,,,,,,,,,,,,,,,,,
12122,虫之石,这石头似乎在孕育着什么，原来是虫系精灵进化使用的,,3,15,3,0,3,5;7;6,,,,,,,,,,,,,,,,,,,,,
12123,飞之石,这石头像羽毛啊，原来是飞行系精灵进化使用的,,3,15,3,0,3,5;7;6,,,,,,,,,,,,,,,,,,,,,
12124,地之石,这石头力量浑厚，原来是地面系精灵进化使用的,,3,15,3,0,3,5;7;6,,,,,,,,,,,,,,,,,,,,,
12125,岩之石,这石头有奇怪力量，原来是岩石系精灵进化使用的,,3,15,3,0,3,5;7;6,,,,,,,,,,,,,,,,,,,,,
12126,格斗石,这石头充满了力量，原来是格斗系精灵进化使用的,,3,15,3,0,3,5;7;6,,,,,,,,,,,,,,,,,,,,,
12127,超能石,这石头有异能感觉，原来是超能系精灵进化使用的,,3,15,3,0,3,5;7;6,,,,,,,,,,,,,,,,,,,,,
12128,钢之石,这石头异常坚硬，原来是钢系精灵进化使用的,,3,15,3,0,3,5;7;6,,,,,,,,,,,,,,,,,,,,,
12129,毒之石,这石头散发着毒气，原来是毒系精灵进化使用的,,3,15,3,0,3,5;7;6,,,,,,,,,,,,,,,,,,,,,
12151,低阶进化卡,进化紫色宝可梦必要的材料，可通过每日任务获得,,1,16,3,0,3,5;7;6,,,,,,,,,,,,,,,,,,,,,
12152,中阶进化卡,进化橙色宝可梦必须的材料，可通过每日任务获得,,2,17,3,0,3,5;7;6,,,,,,,,,,,,,,,,,,,,,
12153,高阶进化卡,辅助进化的高级道具,,3,18,3,0,3,5;7;6,,,,,,,,,,,,,,,,,,,,,
12201,个体洗练石,"用于洗练精灵个体值（资质）,个体值越高，对应属性成长越高",,3,19,3,0,3,16,,,,,,,,,,,,,,,,,,,,,
12211,性格洗练石,用于洗练精灵性格，性格可以百分比增加精灵属性,,3,20,3,0,3,16,,,,,,,,,,,,,,,,,,,,,
12221,物攻努力石1,"影响精灵的物攻,物攻努力值 +1",,2,21,5,0,3,55;7;1,,,2,,,,1,,,,,,,,,,,,,,
12222,物攻努力石2,"影响精灵的物攻,物攻努力值 +2",,2,22,5,0,3,55;7;1,,,2,,,,2,,,,,,,,,,,,,,
12223,物攻努力石3,"影响精灵的物攻,物攻努力值 +3",,2,23,5,0,3,55;7;1,,,2,,,,3,,,,,,,,,,,,,,
12224,物攻努力石4,"影响精灵的物攻,物攻努力值 +4",,2,24,5,0,3,55;7;1,,,2,,,,4,,,,,,,,,,,,,,
12225,物攻努力石5,"影响精灵的物攻,物攻努力值 +5",,2,25,5,0,3,55;7;1,,,2,,,,5,,,,,,,,,,,,,,
12226,特攻努力石1,"影响精灵的物攻,特攻努力值 +1",,2,26,5,0,3,55;7;1,,,3,,,,,1,,,,,,,,,,,,,
12227,特攻努力石2,"影响精灵的特攻,特攻努力值 +2",,2,27,5,0,3,55;7;1,,,3,,,,,2,,,,,,,,,,,,,
12228,特攻努力石3,"影响精灵的特攻,特攻努力值 +3",,2,28,5,0,3,55;7;1,,,3,,,,,3,,,,,,,,,,,,,
12229,特攻努力石4,"影响精灵的特攻,特攻努力值 +4",,2,29,5,0,3,55;7;1,,,3,,,,,4,,,,,,,,,,,,,
12230,特攻努力石5,"影响精灵的特攻,特攻努力值 +5",,2,30,5,0,3,55;7;1,,,3,,,,,5,,,,,,,,,,,,,
12231,物防努力石1,"影响精灵的物防,物防努力值 +1",,2,31,5,0,3,55;7;1,,,4,,,,,,1,,,,,,,,,,,,
12232,物防努力石2,"影响精灵的物防,物防努力值 +2",,2,32,5,0,3,55;7;1,,,4,,,,,,2,,,,,,,,,,,,
12233,物防努力石3,"影响精灵的物防,物防努力值 +3",,2,33,5,0,3,55;7;1,,,4,,,,,,3,,,,,,,,,,,,
12234,物防努力石4,"影响精灵的物防,物防努力值 +4",,2,34,5,0,3,55;7;1,,,4,,,,,,4,,,,,,,,,,,,
12235,物防努力石5,"影响精灵的物防,物防努力值 +5",,2,35,5,0,3,55;7;1,,,4,,,,,,5,,,,,,,,,,,,
12236,特防努力石1,"影响精灵的特防,特防努力值 +1",,2,36,5,0,3,55;7;1,,,5,,,,,,,1,,,,,,,,,,,
12237,特防努力石2,"影响精灵的特防,特防努力值 +2",,2,37,5,0,3,55;7;1,,,5,,,,,,,2,,,,,,,,,,,
12238,特防努力石3,"影响精灵的特防,特防努力值 +3",,2,38,5,0,3,55;7;1,,,5,,,,,,,3,,,,,,,,,,,
12239,特防努力石4,"影响精灵的特防,特防努力值 +4",,2,39,5,0,3,55;7;1,,,5,,,,,,,4,,,,,,,,,,,
12240,特防努力石5,"影响精灵的特防,特防努力值 +5",,2,40,5,0,3,55;7;1,,,5,,,,,,,5,,,,,,,,,,,
12241,速度努力石1,"影响精灵的速度,速度努力值 +1",,2,41,5,0,3,55;7;1,,,6,,,,,,,,1,,,,,,,,,,
12242,速度努力石2,"影响精灵的速度,速度努力值 +2",,2,42,5,0,3,55;7;1,,,6,,,,,,,,2,,,,,,,,,,
12243,速度努力石3,"影响精灵的速度,速度努力值 +3",,2,43,5,0,3,55;7;1,,,6,,,,,,,,3,,,,,,,,,,
12244,速度努力石4,"影响精灵的速度,速度努力值 +4",,2,44,5,0,3,55;7;1,,,6,,,,,,,,4,,,,,,,,,,
12245,速度努力石5,"影响精灵的速度,速度努力值 +5",,2,45,5,0,3,55;7;1,,,6,,,,,,,,5,,,,,,,,,,
12246,血量努力石1,"影响精灵的血量,生命努力值 +1",,2,46,5,0,3,55;7;1,,,1,,,,,,,,,1,,,,,,,,,
12247,血量努力石2,"影响精灵的血量,生命努力值 +2",,2,47,5,0,3,55;7;1,,,1,,,,,,,,,2,,,,,,,,,
12248,血量努力石3,"影响精灵的血量,生命努力值 +3",,2,48,5,0,3,55;7;1,,,1,,,,,,,,,3,,,,,,,,,
12249,血量努力石4,"影响精灵的血量,生命努力值 +4",,2,49,5,0,3,55;7;1,,,1,,,,,,,,,4,,,,,,,,,
12250,血量努力石5,"影响精灵的血量,生命努力值 +5",,2,50,5,0,3,55;7;1,,,1,,,,,,,,,5,,,,,,,,,
12301,徽章强化石,用于强化训练师徽章的唯一道具,,1,100,3,0,3,56,,,,,,,,,,,,,,,,,,,,,
12400,羽毛,可用来升级、解锁翅膀，在秘境中可以获得,,3,50,3,0,4,40;7,,,,,,,,,,,,,,,,,,,,,
12401,线球,可用来升级、解锁饰品，在秘境中可以获得,,3,51,3,0,4,40;7,,,,,,,,,,,,,,,,,,,,,
12500,弱效附魔药水,角色装备附魔经验+500的神奇药水，通过挖矿获得,,1,52,12,0,4,40;7,,,500,,,,,,,,,,,,,,,,,,
12501,强效附魔药水,角色装备附魔经验+1000的高效药水，通过挖矿获得,,2,53,12,0,4,40;7,,,1000,,,,,,,,,,,,,,,,,,
12502,顶级附魔药水,角色装备附魔经验+2000的超级药水，通过挖矿获得,,3,54,12,0,4,40;7,,,2000,,,,,,,,,,,,,,,,,,
12503,原力结晶,用于强化角色装备的原石，通过挖矿获得,,2,55,3,0,4,40;7,,,,,,,,,,,,,,,,,,,,,
12601,魔力糖果,"通过回收道具获得的魔力糖果,可以增加系别属性的神奇道具",,2,56,3,0,4,,,,,,,,,,,,,,,,,,,,,,
13001,精灵球,普普通通的精灵球，捕捉什么宠物比较好呢？,,0,1,7,0,4,,,,0,,2,40,,,,,,,,,,,,,,,
13002,高级球,这个球比精灵球厉害多了，捕获几率应该更大,,2,2,7,0,4,,,,20,,2,800,,,,,,,,,,,,,,,
13003,大师球,这样的球一次就能抓住宠物了,,3,3,7,0,4,8,,,100,,2,2500,,,,,,,,,,,,,,,
13004,狩猎球,仅能在狩猎区中使用的特殊的球,,0,4,7,0,4,8,,,10,,2,100,,,,,,,,,,,,,0,2,40
13005,重复球,有点与众不同的球，很容易捕捉以前曾捉到过的宝可梦,,2,5,7,0,4,,,,9,18,2,200,,,,,,,,,,,,,,,
13006,暗黑球,能很容易地在夜晚或洞窟等阴暗的地方捕捉宝可梦的球,,2,6,7,0,4,,,,12,30,2,500,,,,,,,,,,,,,,,
13007,黄金球,土豪专属，金闪闪的球，用于捕捉可能会有意想不到的效果,,2,7,7,0,4,,,,15,,2,1000,,,,,,,,,,,,,,,
13011,普通抽取券,扭蛋中普通抽取使用,,1,4,3,0,4,,,,,,,,,,,,,,,,,,,,,,
13012,高级抽取券,扭蛋中高级抽取使用,,3,5,3,0,4,,,,,,,,,,,,,,,,,,,,,,
13013,超级抽取券,非常稀有的扭蛋券，在主城-游艺厅中必定能抽取红色品质以上的精灵（十次必出神兽）,,6,6,3,0,4,,,,,,,,,,,,,,,,,,,,,,
13023,高级狩猎区入场劵,凭借“高级狩猎区入场劵”可以进入狩猎高级区抓捕精灵,,3,1,3,0,4,,,,,,,,,,,,,,,,,,,,,,
13031,强攻阵型卷轴,升级【强攻阵型等级】的必备卷轴，在地底挑战中获得,,1,101,3,0,3,6,,,,,,,,,,,,,,,,,,,,,
13032,防御阵型卷轴,升级【防御阵型等级】的必备卷轴，在地底挑战中获得,,1,102,3,0,3,6,,,,,,,,,,,,,,,,,,,,,
13033,速攻阵型卷轴,升级【速攻阵型等级】的必备卷轴，在地底挑战中获得,,1,103,3,0,3,6,,,,,,,,,,,,,,,,,,,,,
13034,控制阵型卷轴,升级【控制阵型等级】的必备卷轴，在地底挑战中获得,,1,104,3,0,3,6,,,,,,,,,,,,,,,,,,,,,
13035,消耗阵型卷轴,升级【消耗阵型等级】的必备卷轴，在地底挑战中获得,,1,105,3,0,3,6,,,,,,,,,,,,,,,,,,,,,
13041,炸弹,威力强大的炸弹，可以摧毁坚硬的石块,,1,6,3,0,4,,,,,,,,,,,,,,,,,,,,,,
13051,家园木料,高级木工加工的高级木料，用于强化家园建筑的基础材料,,1,60,3,0,3,,,,,,,,,,,,,,,,,,,,,,
13052,家园石料,高级石匠加工的上品石料，用于强化家园建筑的高级材料,,2,61,3,0,3,,,,,,,,,,,,,,,,,,,,,,
13061,神器精魄-初,神器的低级精魄，用于神器的强化，强化经验+100,,1,71,13,0,3,,,,100,,,,,,,,,,,,,,,,,,
13062,神器精魄-高,神器的低级精魄，用于神器的强化，强化经验+500,,2,72,13,0,3,,,,500,,,,,,,,,,,,,,,,,,
13066,神器精魂,神器特有的灵魂，用于神器的升星,,3,76,3,0,3,,,,,,,,,,,,,,,,,,,,,,
14001,公园绿长椅图纸,稀有的家园设计图，用于制作公园绿长椅,,3,101,14,0,4,,,,,,,,,,,,,,,,,,,,,,
14002,路边石灯图纸,稀有的家园设计图，用于制作路边石灯,,3,102,14,0,4,,,,,,,,,,,,,,,,,,,,,,
14003,尖型石柱图纸,稀有的家园设计图，用于制作尖型石柱,,3,103,14,0,4,,,,,,,,,,,,,,,,,,,,,,
14004,木质邮箱图纸,稀有的家园设计图，用于制作木质邮箱,,3,104,14,0,4,,,,,,,,,,,,,,,,,,,,,,
14005,小狗石柱图纸,稀有的家园设计图，用于制作小狗石柱,,3,105,14,0,4,,,,,,,,,,,,,,,,,,,,,,
14006,长明路灯图纸,稀有的家园设计图，用于制作长明路灯,,3,106,14,0,4,,,,,,,,,,,,,,,,,,,,,,
14007,铁质路标图纸,稀有的家园设计图，用于制作铁质路标,,3,107,14,0,4,,,,,,,,,,,,,,,,,,,,,,
14008,木质路标图纸,稀有的家园设计图，用于制作木质路标,,3,108,14,0,4,,,,,,,,,,,,,,,,,,,,,,
14009,消防栓图纸,稀有的家园设计图，用于制作消防栓,,3,109,14,0,4,,,,,,,,,,,,,,,,,,,,,,
14010,太阳大伞图纸,稀有的家园设计图，用于制作太阳大伞,,3,110,14,0,4,,,,,,,,,,,,,,,,,,,,,,
14101,精灵研制中心图纸,稀有的家园设计图，用于制作精灵研制中心,,3,111,14,0,4,,,,,,,,,,,,,,,,,,,,,,
14102,精灵便利店图纸,稀有的家园设计图，用于制作精灵便利店,,3,112,14,0,4,,,,,,,,,,,,,,,,,,,,,,
14103,普通民居图纸,稀有的家园设计图，用于制作普通民居,,3,113,14,0,4,,,,,,,,,,,,,,,,,,,,,,
14104,神秘便利店图纸,稀有的家园设计图，用于制作神秘便利店,,3,114,14,0,4,,,,,,,,,,,,,,,,,,,,,,
14105,精灵塔图纸,稀有的家园设计图，用于制作精灵塔,,3,115,14,0,4,,,,,,,,,,,,,,,,,,,,,,
14106,精灵大厦图纸,稀有的家园设计图，用于制作精灵大厦,,3,116,14,0,4,,,,,,,,,,,,,,,,,,,,,,
14107,精灵中心图纸,稀有的家园设计图，用于制作稀有精灵中心,,3,117,14,0,4,,,,,,,,,,,,,,,,,,,,,,
14108,精灵商店图纸,稀有的家园设计图，用于制作普通精灵中心,,3,118,14,0,4,,,,,,,,,,,,,,,,,,,,,,
14109,精灵博士所图纸,稀有的家园设计图，用于制作精灵博士所,,3,119,14,0,4,,,,,,,,,,,,,,,,,,,,,,
14110,高级民居图纸,稀有的家园设计图，用于制作高级民居,,3,120,14,0,4,,,,,,,,,,,,,,,,,,,,,,
14201,枯树图纸,稀有的家园设计图，用于制作枯树,,3,121,14,0,4,,,,,,,,,,,,,,,,,,,,,,
14202,桧柏图纸,稀有的家园设计图，用于制作桧柏,,3,122,14,0,4,,,,,,,,,,,,,,,,,,,,,,
14203,圆柏树图纸,稀有的家园设计图，用于制作圆柏树,,3,123,14,0,4,,,,,,,,,,,,,,,,,,,,,,
14204,榆树图纸,稀有的家园设计图，用于制作榆树,,3,124,14,0,4,,,,,,,,,,,,,,,,,,,,,,
14205,椰树图纸,稀有的家园设计图，用于制作椰树,,3,125,14,0,4,,,,,,,,,,,,,,,,,,,,,,
14206,雪松图纸,稀有的家园设计图，用于制作雪松,,3,126,14,0,4,,,,,,,,,,,,,,,,,,,,,,
14207,棕榈图纸,稀有的家园设计图，用于制作棕榈,,3,127,14,0,4,,,,,,,,,,,,,,,,,,,,,,
14208,远古树图纸,稀有的家园设计图，用于制作远古树,,3,128,14,0,4,,,,,,,,,,,,,,,,,,,,,,
14209,仙人掌图纸,稀有的家园设计图，用于制作仙人掌,,3,129,14,0,4,,,,,,,,,,,,,,,,,,,,,,
14210,香柏树图纸,稀有的家园设计图，用于制作香柏树,,3,130,14,0,4,,,,,,,,,,,,,,,,,,,,,,
15001,神火珠图纸,珍贵的神器设计图，用于制作神器“神火珠”,,4,501,15,0,4,,,,,,,,,,,,,,,,,,,,,,
15002,奇火珠图纸,珍贵的神器设计图，用于制作神器“奇火珠”,,4,502,15,0,4,,,,,,,,,,,,,,,,,,,,,,
15003,精火珠图纸,珍贵的神器设计图，用于制作神器“精火珠”,,4,503,15,0,4,,,,,,,,,,,,,,,,,,,,,,
15004,灵火珠图纸,珍贵的神器设计图，用于制作神器“灵火珠”,,4,504,15,0,4,,,,,,,,,,,,,,,,,,,,,,
15011,神水珠图纸,珍贵的神器设计图，用于制作神器“神水珠”,,4,505,15,0,4,,,,,,,,,,,,,,,,,,,,,,
15012,奇水珠图纸,珍贵的神器设计图，用于制作神器“奇水珠”,,4,506,15,0,4,,,,,,,,,,,,,,,,,,,,,,
15013,精水珠图纸,珍贵的神器设计图，用于制作神器“精水珠”,,4,507,15,0,4,,,,,,,,,,,,,,,,,,,,,,
15014,灵水珠图纸,珍贵的神器设计图，用于制作神器“灵水珠”,,4,508,15,0,4,,,,,,,,,,,,,,,,,,,,,,
15021,神草珠图纸,珍贵的神器设计图，用于制作神器“神草珠”,,4,509,15,0,4,,,,,,,,,,,,,,,,,,,,,,
15022,奇草珠图纸,珍贵的神器设计图，用于制作神器“奇草珠”,,4,510,15,0,4,,,,,,,,,,,,,,,,,,,,,,
15023,精草珠图纸,珍贵的神器设计图，用于制作神器“精草珠”,,4,511,15,0,4,,,,,,,,,,,,,,,,,,,,,,
15024,灵草珠图纸,珍贵的神器设计图，用于制作神器“灵草珠”,,4,512,15,0,4,,,,,,,,,,,,,,,,,,,,,,
15031,神妖珠图纸,珍贵的神器设计图，用于制作神器“神妖珠”,,4,513,15,0,4,,,,,,,,,,,,,,,,,,,,,,
15032,奇妖珠图纸,珍贵的神器设计图，用于制作神器“奇妖珠”,,4,514,15,0,4,,,,,,,,,,,,,,,,,,,,,,
15033,精妖珠图纸,珍贵的神器设计图，用于制作神器“精妖珠”,,4,515,15,0,4,,,,,,,,,,,,,,,,,,,,,,
15034,灵妖珠图纸,珍贵的神器设计图，用于制作神器“灵妖珠”,,4,516,15,0,4,,,,,,,,,,,,,,,,,,,,,,
15041,神恶珠图纸,珍贵的神器设计图，用于制作神器“神恶珠”,,4,517,15,0,4,,,,,,,,,,,,,,,,,,,,,,
