天赋库ID（关联宝可梦的天赋库ID字段）,等级要求（到达了对应等级能解锁3个天赋，玩家可以3选1）,"可学习内容（主动技能ID对应宝可梦技能表，被动技能ID对应特性表，主动技能的格式为1；skillID，被动技能的格式为2；skillID; 等级(可不填,默认0)，每层都有3个，总体格式为：skilltypeID;skillID|skilltypeID;skillID|skilltypeID;skillID）",解锁消耗(道具ID;数量),克制伤害加成（此克制系数，与常量表中克制系数相加）,种族值加成,消耗宠物数量（0为不消耗）
number,number,string,string,double,number,number
talentGroupId,askLv,talentIdArray,costItem,counterDamageAddStar,alladd,count
1085,30,2;1010;1|2;1018;1|2;1042;1,1;1000000|12123;90|6;1000,0.03,2,0
1085,35,3;900102|3;900302|3;900504,1;2000000|12123;150|6;2000,0.04,2,0
1086,20,3;900101|3;900401|3;900001,1;200000|12107;20|6;200,0.01,1,0
1086,25,1;1034006|1;1075506|1;1022006,1;500000|12107;50|6;500,0.02,1,0
1086,30,2;1046|2;1018|2;1044,1;1000000|12107;90|6;1000,0.03,2,0
1087,20,3;900101|3;900401|3;900001,1;200000|12107;20|6;200,0.01,1,0
1087,25,1;1034006|1;1075506|1;1022006,1;500000|12107;50|6;500,0.02,1,0
1087,30,2;1046;1|2;1018;1|2;1044;1,1;1000000|12107;90|6;1000,0.03,2,0
1087,35,3;900103|3;900303|3;900504,1;2000000|12107;150|6;2000,0.04,2,0
1088,20,3;900101|3;900301|3;900001,1;200000|12129;20|6;200,0.01,1,0
1088,25,1;1133006|1;3145006|1;3185006,1;500000|12129;50|6;500,0.02,1,0
1088,30,2;1006|2;1018|2;1036,1;1000000|12129;90|6;1000,0.03,2,0
1089,20,3;900101|3;900401|3;900001,1;200000|12129;20|6;200,0.01,1,0
1089,25,1;1133006|1;3145006|1;3185006,1;500000|12129;50|6;500,0.02,1,0
1089,30,2;1006;1|2;1018;1|2;1036;1,1;1000000|12129;90|6;1000,0.03,2,0
1089,35,3;900103|3;900303|3;900504,1;2000000|12129;150|6;2000,0.04,2,0
1090,20,3;900101|3;900301|3;900001,1;200000|12102;20|6;200,0.01,1,0
1090,25,1;3145006|1;1092506|1;3024506,1;500000|12102;50|6;500,0.02,1,0
1090,30,2;1046;1|2;1021;1|2;1036;1,1;1000000|12102;90|6;1000,0.03,2,0
1090,35,3;900102|3;900302|3;900504,1;2000000|12102;150|6;2000,0.04,2,0
1091,20,3;900101|3;900301|3;900001,1;200000|12102;20|6;200,0.01,1,0
1091,25,1;3145006|1;1092506|1;3024506,1;500000|12102;50|6;500,0.02,1,0
1091,30,2;1046;2|2;1021;2|2;1036;2,1;1000000|12102;90|6;1000,0.03,2,0
1091,35,3;900102|3;900302|3;900504,1;2000000|12102;150|6;2000,0.04,2,0
1091,40,1;3145008|1;1096008|1;3076508,1;5000000|12102;220|6;5000,0.08,3,1
1092,20,3;900201|3;900401|3;900001,1;200000|12108;20|6;200,0.01,1,0
1092,25,1;4054506|1;4165506|1;2185506,1;500000|12108;50|6;500,0.02,1,0
1092,30,2;1055|2;1018|2;1036,1;1000000|12108;90|6;1000,0.03,2,0
1093,20,3;900201|3;900401|3;900001,1;200000|12108;20|6;200,0.01,1,0
1093,25,1;4054506|1;4165506|1;2185506,1;500000|12108;50|6;500,0.02,1,0
1093,30,2;1055;1|2;1018;1|2;1036;1,1;1000000|12108;90|6;1000,0.03,2,0
1093,35,3;900203|3;900403|3;900504,1;2000000|12108;150|6;2000,0.04,2,0
1094,20,3;900201|3;900401|3;900001,1;200000|12108;20|6;200,0.01,1,0
1094,25,1;4054506|1;4165506|1;2185506,1;500000|12108;50|6;500,0.02,1,0
1094,30,2;1055;2|2;1018;2|2;1036;2,1;1000000|12108;90|6;1000,0.03,2,0
1094,35,3;900203|3;900403|3;900504,1;2000000|12108;150|6;2000,0.04,2,0
1094,40,1;2052008|1;2166008|1;4085508,1;5000000|12108;220|6;5000,0.08,3,1
1095,20,3;900101|3;900301|3;900001,1;200000|12124;20|6;200,0.01,1,0
1095,25,1;3145006|1;1054006|1;3134006,1;500000|12124;50|6;500,0.02,1,0
1095,30,2;1050|2;1018|2;1044,1;1000000|12124;90|6;1000,0.03,2,0
1096,20,3;900101|3;900401|3;900001,1;200000|12127;20|6;200,0.01,1,0
1096,25,1;1042006|1;1093006|1;3164006,1;500000|12127;50|6;500,0.02,1,0
1096,30,2;1048|2;1018|2;1026,1;1000000|12127;90|6;1000,0.03,2,0
1097,20,3;900101|3;900401|3;900001,1;200000|12127;20|6;200,0.01,1,0
1097,25,1;1042006|1;1093006|1;3164006,1;500000|12127;50|6;500,0.02,1,0
1097,30,2;1048;1|2;1018;1|2;1026;1,1;1000000|12127;90|6;1000,0.03,2,0
1097,35,3;900103|3;900303|3;900504,1;2000000|12127;150|6;2000,0.04,2,0
1098,20,3;900101|3;900301|3;900001,1;200000|12102;20|6;200,0.01,1,0
1098,25,1;3075006|1;1154006|1;1025506,1;500000|12102;50|6;500,0.02,1,0
1098,30,2;1049|2;1015|2;1036,1;1000000|12102;90|6;1000,0.03,2,0
1099,20,3;900101|3;900301|3;900001,1;200000|12102;20|6;200,0.01,1,0
1099,25,1;3075006|1;1154006|1;1025506,1;500000|12102;50|6;500,0.02,1,0
1099,30,2;1049;1|2;1015;1|2;1036;1,1;1000000|12102;90|6;1000,0.03,2,0
1099,35,3;900102|3;900302|3;900504,1;2000000|12102;150|6;2000,0.04,2,0
1100,20,3;900201|3;900401|3;900001,1;200000|12121;20|6;200,0.01,1,0
1100,25,1;4045506|1;2142506|1;2101506,1;500000|12121;50|6;500,0.02,1,0
1100,30,2;1010|2;1018|2;1027,1;1000000|12121;90|6;1000,0.03,2,0
1101,20,3;900201|3;900401|3;900001,1;200000|12121;20|6;200,0.01,1,0
1101,25,1;4045506|1;2142506|1;2101506,1;500000|12121;50|6;500,0.02,1,0
1101,30,2;1010;1|2;1018;1|2;1027;1,1;1000000|12121;90|6;1000,0.03,2,0
1101,35,3;900203|3;900403|3;900504,1;2000000|12121;150|6;2000,0.04,2,0
1102,20,3;900201|3;900301|3;900001,1;200000|12103;20|6;200,0.01,1,0
1102,25,1;2092506|1;2184506|1;4035006,1;500000|12103;50|6;500,0.02,1,0
1102,30,2;1031|2;1019|2;1044,1;1000000|12103;90|6;1000,0.03,2,0
1103,20,3;900201|3;900301|3;900001,1;200000|12103;20|6;200,0.01,1,0
1103,25,1;2092506|1;2184506|1;4035006,1;500000|12103;50|6;500,0.02,1,0
1103,30,2;1031;2|2;1019;2|2;1044;2,1;1000000|12103;90|6;1000,0.03,2,0
1103,35,3;900202|3;900402|3;900504,1;2000000|12103;150|6;2000,0.04,2,0
1103,40,1;4095508|1;4185008|1;4034508,1;5000000|12103;220|6;5000,0.08,3,1
1104,20,3;900101|3;900301|3;900001,1;200000|12124;20|6;200,0.01,1,0
1104,25,1;1142506|1;1153006|1;3135006,1;500000|12124;50|6;500,0.02,1,0
1104,30,2;1050|2;1017|2;1026,1;1000000|12124;90|6;1000,0.03,2,0
1105,20,3;900101|3;900301|3;900001,1;200000|12124;20|6;200,0.01,1,0
1105,25,1;1142506|1;1153006|1;3135006,1;500000|12124;50|6;500,0.02,1,0
1105,30,2;1050;1|2;1017;1|2;1026;1,1;1000000|12124;90|6;1000,0.03,2,0
1105,35,3;900102|3;900302|3;900504,1;2000000|12124;150|6;2000,0.04,2,0
1106,20,3;900101|3;900401|3;900001,1;200000|12126;20|6;200,0.01,1,0
1106,25,1;3014006|1;3145506|1;1152506,1;500000|12126;50|6;500,0.02,1,0
1106,30,2;1028;1|2;1015;1|2;1036;1,1;1000000|12126;90|6;1000,0.03,2,0
1106,35,3;900103|3;900303|3;900504,1;2000000|12126;150|6;2000,0.04,2,0
1107,20,3;900101|3;900401|3;900001,1;200000|12126;20|6;200,0.01,1,0
1107,25,1;3024506|1;1141506|1;1153006,1;500000|12126;50|6;500,0.02,1,0
1107,30,2;1003;1|2;1018;1|2;1026;1,1;1000000|12126;90|6;1000,0.03,2,0
1107,35,3;900103|3;900303|3;900504,1;2000000|12126;150|6;2000,0.04,2,0
1108,20,3;900201|3;900301|3;900001,1;200000|12109;20|6;200,0.01,1,0
1108,25,1;3024006|1;1044006|1;2092006,1;500000|12109;50|6;500,0.02,1,0
1108,30,2;1030|2;1020|2;1026,1;1000000|12109;90|6;1000,0.03,2,0
1109,20,3;900101|3;900301|3;900001,1;200000|12129;20|6;200,0.01,1,0
1109,25,1;3054006|1;3125006|1;1182506,1;500000|12129;50|6;500,0.02,1,0
1109,30,2;1039|2;1017|2;1043,1;1000000|12129;90|6;1000,0.03,2,0
1110,20,3;900101|3;900301|3;900001,1;200000|12129;20|6;200,0.01,1,0
1110,25,1;3054006|1;3125006|1;1182506,1;500000|12129;50|6;500,0.02,1,0
1110,30,2;1039;1|2;1017;1|2;1043;1,1;1000000|12129;90|6;1000,0.03,2,0
1110,35,3;900102|3;900302|3;900504,1;2000000|12129;150|6;2000,0.04,2,0
1111,20,3;900101|3;900301|3;900001,1;200000|12124;20|6;200,0.01,1,0
1111,25,1;1013506|1;1133506|1;1143006,1;500000|12124;50|6;500,0.02,1,0
1111,30,2;1010|2;1021|2;1036,1;1000000|12124;90|6;1000,0.03,2,0
1112,20,3;900101|3;900301|3;900001,1;200000|12124;20|6;200,0.01,1,0
1112,25,1;1013506|1;1133506|1;1143006,1;500000|12124;50|6;500,0.02,1,0
1112,30,2;1010;1|2;1021;1|2;1036;1,1;1000000|12124;90|6;1000,0.03,2,0
1112,35,3;900102|3;900302|3;900504,1;2000000|12124;150|6;2000,0.04,2,0
1113,20,3;900201|3;900401|3;900001,1;200000|12109;20|6;200,0.01,1,0
1113,25,1;4044006|1;4164006|1;2092506,1;500000|12109;50|6;500,0.02,1,0
1113,30,2;1032;1|2;1020;1|2;1027;1,1;1000000|12109;90|6;1000,0.03,2,0
1113,35,3;900203|3;900403|3;900504,1;2000000|12109;150|6;2000,0.04,2,0
1114,20,3;900201|3;900301|3;900001,1;200000|12103;20|6;200,0.01,1,0
1114,25,1;4024006|1;2183506|1;2035006,1;500000|12103;50|6;500,0.02,1,0
1114,30,2;1025;1|2;1019;1|2;1042;1,1;1000000|12103;90|6;1000,0.03,2,0
1114,35,3;900202|3;900402|3;900504,1;2000000|12103;150|6;2000,0.04,2,0
1115,20,3;900101|3;900301|3;900001,1;200000|12109;20|6;200,0.01,1,0
1115,25,1;3154506|1;1013506|1;3094006,1;500000|12109;50|6;500,0.02,1,0
1115,30,2;1030;2|2;1020;2|2;1042;2,1;1000000|12109;90|6;1000,0.03,2,0
1115,35,3;900102|3;900302|3;900504,1;2000000|12109;150|6;2000,0.04,2,0
1115,40,1;1151508|1;3016008|1;1098508,1;5000000|12109;220|6;5000,0.08,3,1
1116,20,3;900101|3;900201|3;900001,1;200000|12102;20|6;200,0.01,1,0
1116,25,1;1074006|1;3185506|1;2065006,1;500000|12102;50|6;500,0.02,1,0
1117,20,3;900101|3;900201|3;900001,1;200000|12102;20|6;200,0.01,1,0
1117,25,1;1074006|1;3185506|1;2065006,1;500000|12102;50|6;500,0.02,1,0
1117,30,2;1010;1|2;1015;1|2;1042;1,1;1000000|12102;90|6;1000,0.03,2,0
1117,35,3;900102|3;900203|3;900504,1;2000000|12102;150|6;2000,0.04,2,0
1118,20,3;900101|3;900301|3;900001,1;200000|12102;20|6;200,0.01,1,0
1118,25,1;1032006|1;1095006|1;1021506,1;500000|12102;50|6;500,0.02,1,0
1118,30,2;1049|2;1020|2;1042,1;1000000|12102;90|6;1000,0.03,2,0
1119,20,3;900101|3;900401|3;900001,1;200000|12102;20|6;200,0.01,1,0
1119,25,1;1032006|1;1095006|1;1021506,1;500000|12102;50|6;500,0.02,1,0
1119,30,2;1049;1|2;1020;1|2;1042;1,1;1000000|12102;90|6;1000,0.03,2,0
1119,35,3;900103|3;900303|3;900504,1;2000000|12102;150|6;2000,0.04,2,0
1120,20,3;900201|3;900301|3;900001,1;200000|12102;20|6;200,0.01,1,0
1120,25,1;2105506|1;2073006|1;2164006,1;500000|12102;50|6;500,0.02,1,0
1120,30,2;1010;1|2;1015;1|2;1027;1,1;1000000|12102;90|6;1000,0.03,2,0
1120,35,3;900202|3;900402|3;900504,1;2000000|12102;150|6;2000,0.04,2,0
1121,20,3;900201|3;900301|3;900001,1;200000|12102;20|6;200,0.01,1,0
1121,25,1;2105506|1;2073006|1;2164006,1;500000|12102;50|6;500,0.02,1,0
1121,30,2;1010;2|2;1015;2|2;1027;2,1;1000000|12102;90|6;1000,0.03,2,0
1121,35,3;900202|3;900402|3;900504,1;2000000|12102;150|6;2000,0.04,2,0
1121,40,1;4104508|1;2073008|1;2028508,1;5000000|12102;220|6;5000,0.08,3,1
1122,20,3;900201|3;900401|3;900001,1;200000|12127;20|6;200,0.01,1,0
1122,25,1;4045506|1;2085506|1;2165006,1;500000|12127;50|6;500,0.02,1,0
1122,30,2;1041;1|2;1018;1|2;1042;1,1;1000000|12127;90|6;1000,0.03,2,0
1122,35,3;900203|3;900403|3;900504,1;2000000|12127;150|6;2000,0.04,2,0
1123,20,3;900101|3;900301|3;900001,1;200000|12122;20|6;200,0.01,1,0
1123,25,1;1124506|1;1093006|1;1114006,1;500000|12122;50|6;500,0.02,1,0
1123,30,2;1037;1|2;1019;1|2;1043;1,1;1000000|12122;90|6;1000,0.03,2,0
1123,35,3;900102|3;900302|3;900504,1;2000000|12122;150|6;2000,0.04,2,0
1124,20,3;900201|3;900401|3;900001,1;200000|12127;20|6;200,0.01,1,0
1124,25,1;2042006|1;2164006|1;2074506,1;500000|12127;50|6;500,0.02,1,0
1124,30,2;1046;1|2;1018;1|2;1044;1,1;1000000|12127;90|6;1000,0.03,2,0
1124,35,3;900203|3;900403|3;900504,1;2000000|12127;150|6;2000,0.04,2,0
1125,20,3;900201|3;900401|3;900001,1;200000|12121;20|6;200,0.01,1,0
1125,25,1;1155506|1;1134006|1;2105006,1;500000|12121;50|6;500,0.02,1,0
1125,30,2;1010;1|2;1015;1|2;1026;1,1;1000000|12121;90|6;1000,0.03,2,0
1125,35,3;900203|3;900403|3;900504,1;2000000|12121;150|6;2000,0.04,2,0
1126,20,3;900201|3;900401|3;900001,1;200000|12101;20|6;200,0.01,1,0
1126,25,1;2055506|1;2135006|1;4014006,1;500000|12101;50|6;500,0.02,1,0
1126,30,2;1010;1|2;1019;1|2;1026;1,1;1000000|12101;90|6;1000,0.03,2,0
1126,35,3;900203|3;900403|3;900504,1;2000000|12101;150|6;2000,0.04,2,0
1127,20,3;900101|3;900301|3;900001,1;200000|12122;20|6;200,0.01,1,0
1127,25,1;1155006|1;3125006|1;1113006,1;500000|12122;50|6;500,0.02,1,0
1127,30,2;1037;2|2;1020;2|2;1026;2,1;1000000|12122;90|6;1000,0.03,2,0
1127,35,3;900102|3;900302|3;900504,1;2000000|12122;150|6;2000,0.04,2,0
1127,40,1;1152008|1;3124008|1;3114008,1;5000000|12122;220|6;5000,0.08,3,1
1128,20,3;900101|3;900301|3;900001,1;200000|12109;20|6;200,0.01,1,0
1128,25,1;1012506|1;1152006|1;1092506,1;500000|12109;50|6;500,0.02,1,0
1128,30,2;1032;1|2;1020;1|2;1026;1,1;1000000|12109;90|6;1000,0.03,2,0
1128,35,3;900102|3;900302|3;900504,1;2000000|12109;150|6;2000,0.04,2,0
1129,20,3;900201|3;900301|3;900001,1;200000|12102;20|6;200,0.01,1,0
1129,25,1;3064506|1;1052006|1;2122506,1;500000|12102;50|6;500,0.02,1,0
1130,20,3;900101|3;900401|3;900001,1;200000|12102;20|6;200,0.01,1,0
1130,25,1;3064506|1;1052006|1;2122506,1;500000|12102;50|6;500,0.02,1,0
1130,30,2;1010;2|2;1019;2|2;1036;2,1;1000000|12102;90|6;1000,0.03,2,0
1130,35,3;900103|3;900303|3;900504,1;2000000|12102;150|6;2000,0.04,2,0
1130,40,1;3064508|1;3054008|1;3125508,1;5000000|12102;220|6;5000,0.08,3,1
1131,20,3;900101|3;900201|3;900001,1;200000|12107;20|6;200,0.01,1,0
1131,25,1;4104506|1;2144006|1;3025006,1;500000|12107;50|6;500,0.02,1,0
1131,30,2;1046;2|2;1019;2|2;1044;2,1;1000000|12107;90|6;1000,0.03,2,0
1131,35,3;900103|3;900203|3;900504,1;2000000|12107;150|6;2000,0.04,2,0
1131,40,1;2103508|1;4146508|1;1021508,1;5000000|12107;220|6;5000,0.08,3,1
1132,20,3;900101|3;900301|3;900001,1;200000|12109;20|6;200,0.01,1,0
1132,25,1;1041506|1;1163506|1;3094506,1;500000|12109;50|6;500,0.02,1,0
1133,20,3;900101|3;900401|3;900001,1;200000|12109;20|6;200,0.01,1,0
1133,25,1;3054506|1;1133006|1;1094006,1;500000|12109;50|6;500,0.02,1,0
1133,30,2;1010;1|2;1015;1|2;1036;1,1;1000000|12109;90|6;1000,0.03,2,0
1133,35,3;900103|3;900303|3;900504,1;2000000|12109;150|6;2000,0.04,2,0
1134,20,3;900201|3;900401|3;900001,1;200000|12102;20|6;200,0.01,1,0
1134,25,1;3054506|1;1133006|1;1094006,1;500000|12102;50|6;500,0.02,1,0
1134,30,2;1010;2|2;1015;2|2;1036;2,1;1000000|12102;90|6;1000,0.03,2,0
1134,35,3;900203|3;900403|3;900504,1;2000000|12102;150|6;2000,0.04,2,0
1134,40,1;4096008|1;2076008|1;4027008,1;5000000|12102;220|6;5000,0.08,3,1
1135,20,3;900201|3;900401|3;900001,1;200000|12121;20|6;200,0.01,1,0
1135,25,1;3054506|1;1133006|1;1094006,1;500000|12121;50|6;500,0.02,1,0
1135,30,2;1010;2|2;1015;2|2;1036;2,1;1000000|12121;90|6;1000,0.03,2,0
1135,35,3;900203|3;900403|3;900504,1;2000000|12121;150|6;2000,0.04,2,0
1135,40,1;2093508|1;4167508|1;2106008,1;5000000|12121;220|6;5000,0.08,3,1
1136,20,3;900101|3;900401|3;900001,1;200000|12101;20|6;200,0.01,1,0
1136,25,1;3054506|1;1133006|1;1094006,1;500000|12101;50|6;500,0.02,1,0
1136,30,2;1010;2|2;1015;2|2;1036;2,1;1000000|12101;90|6;1000,0.03,2,0
1136,35,3;900103|3;900303|3;900504,1;2000000|12101;150|6;2000,0.04,2,0
1136,40,1;3155508|1;3096508|1;1013508,1;5000000|12101;220|6;5000,0.08,3,1
1137,20,3;900201|3;900401|3;900001,1;200000|12109;20|6;200,0.01,1,0
1137,25,1;4064006|1;4154506|1;4074006,1;500000|12109;50|6;500,0.02,1,0
1137,30,2;1032|2;1019|2;1027,1;1000000|12109;90|6;1000,0.03,2,0
1138,20,3;900201|3;900301|3;900001,1;200000|12102;20|6;200,0.01,1,0
1138,25,1;2111506|1;4024006|1;2142506,1;500000|12102;50|6;500,0.02,1,0
1138,30,2;1049|2;1018|2;1044,1;1000000|12102;90|6;1000,0.03,2,0
1139,20,3;900201|3;900301|3;900001,1;200000|12102;20|6;200,0.01,1,0
1139,25,1;2111506|1;4024006|1;2142506,1;500000|12102;50|6;500,0.02,1,0
1139,30,2;1049;1|2;1018;1|2;1044;1,1;1000000|12102;90|6;1000,0.03,2,0
1139,35,3;900202|3;900402|3;900504,1;2000000|12102;150|6;2000,0.04,2,0
1140,20,3;900101|3;900301|3;900001,1;200000|12125;20|6;200,0.01,1,0
1140,25,1;3115506|1;3145006|1;3024006,1;500000|12125;50|6;500,0.02,1,0
1140,30,2;1010|2;1019|2;1036,1;1000000|12125;90|6;1000,0.03,2,0
1141,20,3;900101|3;900301|3;900001,1;200000|12125;20|6;200,0.01,1,0
1141,25,1;3115506|1;3145006|1;3024006,1;500000|12125;50|6;500,0.02,1,0
1141,30,2;1010;1|2;1019;1|2;1036;1,1;1000000|12125;90|6;1000,0.03,2,0
1141,35,3;900102|3;900302|3;900504,1;2000000|12125;150|6;2000,0.04,2,0
1142,20,3;900101|3;900401|3;900001,1;200000|12125;20|6;200,0.01,1,0
1142,25,1;1064506|1;1052006|1;3124506,1;500000|12125;50|6;500,0.02,1,0
1142,30,2;1010;2|2;1019;2|2;1043;2,1;1000000|12125;90|6;1000,0.03,2,0
1142,35,3;900103|3;900303|3;900504,1;2000000|12125;150|6;2000,0.04,2,0
1142,40,1;3065008|1;3054508|1;1127008,1;5000000|12125;220|6;5000,0.08,3,1
1143,20,3;900201|3;900301|3;900001,1;200000|12109;20|6;200,0.01,1,0
1143,25,1;4155006|1;2011506|1;3095506,1;500000|12109;50|6;500,0.02,1,0
1143,30,2;1030;2|2;1018;2|2;1042;2,1;1000000|12109;90|6;1000,0.03,2,0
1143,35,3;900202|3;900402|3;900504,1;2000000|12109;150|6;2000,0.04,2,0
1143,40,1;4156008|1;2014508|1;2091508,1;5000000|12109;220|6;5000,0.08,3,1
1144,20,3;900205|3;900405|3;900005,1;200000|12107;20|6;200,0.01,1,0
1144,25,1;2045006|1;2074506|1;4124506,1;500000|12107;50|6;500,0.02,1,0
1144,30,2;1005;4|2;1020;4|2;1042;4,1;1000000|12107;90|6;1000,0.03,2,0
1144,35,3;900207|3;900407|3;900508,1;2000000|12107;150|6;2000,0.04,2,0
1144,40,1;2047009|1;2074009|1;2127009,1;5000000|12107;220|6;5000,0.08,3,1
1144,45,2;1015;4|2;1026;4|2;1052;4,1;12000000|12107;320|6;12000,0.12,4,2
1144,50,3;900208|3;900408|3;900008,1;25000000|12107;500|6;25000,0.2,5,3
1145,20,3;900205|3;900405|3;900005,1;200000|12121;20|6;200,0.01,1,0
1145,25,1;4045006|1;2102006|1;2124506,1;500000|12121;50|6;500,0.02,1,0
1145,30,2;1010;4|2;1017;4|2;1036;4,1;1000000|12121;90|6;1000,0.03,2,0
1145,35,3;900207|3;900407|3;900508,1;2000000|12121;150|6;2000,0.04,2,0
1145,40,1;2047009|1;2108509|1;2124009,1;5000000|12121;220|6;5000,0.08,3,1
1145,45,2;1014;4|2;1027;4|2;1045;4,1;12000000|12121;320|6;12000,0.12,4,2
1145,50,3;900208|3;900408|3;900008,1;25000000|12121;500|6;25000,0.2,5,3
1146,20,3;900205|3;900305|3;900005,1;200000|12101;20|6;200,0.01,1,0
1146,25,1;2045006|1;2012006|1;4125006,1;500000|12101;50|6;500,0.02,1,0
1146,30,2;1010;4|2;1020;4|2;1043;4,1;1000000|12101;90|6;1000,0.03,2,0
1146,35,3;900206|3;900406|3;900508,1;2000000|12101;150|6;2000,0.04,2,0
1146,40,1;2043509|1;2017509|1;2126509,1;5000000|12101;220|6;5000,0.08,3,1
1146,45,2;1015;4|2;1027;4|2;1045;4,1;12000000|12101;320|6;12000,0.12,4,2
1146,50,3;900208|3;900308|3;900008,1;25000000|12101;500|6;25000,0.2,5,3
1147,20,3;900101|3;900401|3;900001,1;200000|12106;20|6;200,0.01,1,0
1147,25,1;1102006|1;1125506|1;2012006,1;500000|12106;50|6;500,0.02,1,0
1147,30,2;1029|2;1018|2;1027,1;1000000|12106;90|6;1000,0.03,2,0
1148,20,3;900101|3;900401|3;900001,1;200000|12106;20|6;200,0.01,1,0
1148,25,1;1102006|1;1125506|1;2012006,1;500000|12106;50|6;500,0.02,1,0
1148,30,2;1029;1|2;1018;1|2;1027;1,1;1000000|12106;90|6;1000,0.03,2,0
1148,35,3;900103|3;900303|3;900504,1;2000000|12106;150|6;2000,0.04,2,0
1149,20,3;900101|3;900401|3;900001,1;200000|12106;20|6;200,0.01,1,0
1149,25,1;1102006|1;1125506|1;2012006,1;500000|12106;50|6;500,0.02,1,0
1149,30,2;1029;2|2;1018;2|2;1027;2,1;1000000|12106;90|6;1000,0.03,2,0
1149,35,3;900103|3;900303|3;900504,1;2000000|12106;150|6;2000,0.04,2,0
1149,40,1;3108008|1;1122508|1;1061508,1;5000000|12106;220|6;5000,0.08,3,1
1150,20,3;900209|3;900309|3;900009,1;200000|12127;20|6;200,0.01,1,0
1150,25,1;4045006|1;2052506|1;2154506,1;500000|12127;50|6;500,0.02,1,0
1150,30,2;1010;4|2;1017;4|2;1036;4,1;1000000|12127;90|6;1000,0.03,2,0
1150,35,3;900210|3;900410|3;900512,1;2000000|12127;150|6;2000,0.04,2,0
1150,40,1;2047009|1;2056009|1;4155509,1;5000000|12127;220|6;5000,0.08,3,1
1150,45,2;1014;4|2;1021;4|2;1043;4,1;12000000|12127;320|6;12000,0.12,4,2
1150,50,3;900212|3;900312|3;900012,1;25000000|12127;500|6;25000,0.2,5,3
1151,20,3;900109|3;900209|3;900009,1;200000|12127;20|6;200,0.01,1,0
1151,25,1;1121506|1;3185506|1;3075506,1;500000|12127;50|6;500,0.02,1,0
1151,30,2;1010;4|2;1018;4|2;1026;4,1;1000000|12127;90|6;1000,0.03,2,0
1151,35,3;900110|3;900211|3;900512,1;2000000|12127;150|6;2000,0.04,2,0
1151,40,1;3128509|1;3185509|1;3075009,1;5000000|12127;220|6;5000,0.08,3,1
1151,45,2;1013;4|2;1021;4|2;1043;4,1;12000000|12127;320|6;12000,0.12,4,2
1151,50,3;900112|3;900212|3;900012,1;25000000|12127;500|6;25000,0.2,5,3
1152,20,3;900101|3;900301|3;900001,1;200000|12103;20|6;200,0.01,1,0
1152,25,1;4184006|1;2165506|1;1034506,1;500000|12103;50|6;500,0.02,1,0
1152,30,2;1031|2;1015|2;1026,1;1000000|12103;90|6;1000,0.03,2,0
1153,20,3;900201|3;900301|3;900001,1;200000|12103;20|6;200,0.01,1,0
1153,25,1;4184006|1;2165506|1;1034506,1;500000|12103;50|6;500,0.02,1,0
1153,30,2;1031;1|2;1015;1|2;1026;1,1;1000000|12103;90|6;1000,0.03,2,0
1153,35,3;900202|3;900402|3;900504,1;2000000|12103;150|6;2000,0.04,2,0
1154,20,3;900201|3;900301|3;900001,1;200000|12103;20|6;200,0.01,1,0
1154,25,1;4184006|1;2165506|1;1034506,1;500000|12103;50|6;500,0.02,1,0
1154,30,2;1031;2|2;1015;2|2;1026;2,1;1000000|12103;90|6;1000,0.03,2,0
1154,35,3;900202|3;900402|3;900504,1;2000000|12103;150|6;2000,0.04,2,0
1154,40,1;4184008|1;2166508|1;2037508,1;5000000|12103;220|6;5000,0.08,3,1
1155,20,3;900201|3;900401|3;900001,1;200000|12101;20|6;200,0.01,1,0
1155,25,1;2154506|1;2135006|1;2013006,1;500000|12101;50|6;500,0.02,1,0
1155,30,2;1010|2;1020|2;1026,1;1000000|12101;90|6;1000,0.03,2,0
1156,20,3;900201|3;900401|3;900001,1;200000|12101;20|6;200,0.01,1,0
1156,25,1;2154506|1;2135006|1;2013006,1;500000|12101;50|6;500,0.02,1,0
1156,30,2;1010;1|2;1020;1|2;1026;1,1;1000000|12101;90|6;1000,0.03,2,0
1156,35,3;900203|3;900403|3;900504,1;2000000|12101;150|6;2000,0.04,2,0
1157,20,3;900201|3;900401|3;900001,1;200000|12101;20|6;200,0.01,1,0
1157,25,1;2154506|1;2135006|1;2013006,1;500000|12101;50|6;500,0.02,1,0
1157,30,2;1010;2|2;1020;2|2;1026;2,1;1000000|12101;90|6;1000,0.03,2,0
1157,35,3;900203|3;900403|3;900504,1;2000000|12101;150|6;2000,0.04,2,0
1157,40,1;2158508|1;4137508|1;2014008,1;5000000|12101;220|6;5000,0.08,3,1
1158,20,3;900101|3;900301|3;900001,1;200000|12102;20|6;200,0.01,1,0
1158,25,1;1055006|1;1133006|1;1023006,1;500000|12102;50|6;500,0.02,1,0
1158,30,2;1010|2;1017|2;1027,1;1000000|12102;90|6;1000,0.03,2,0
1159,20,3;900101|3;900301|3;900001,1;200000|12102;20|6;200,0.01,1,0
1159,25,1;1055006|1;1133006|1;1023006,1;500000|12102;50|6;500,0.02,1,0
1159,30,2;1010;1|2;1017;1|2;1027;1,1;1000000|12102;90|6;1000,0.03,2,0
1159,35,3;900102|3;900302|3;900504,1;2000000|12102;150|6;2000,0.04,2,0
